"Index","AVID.Close"
2011-04-07,22.06
2011-04-08,21.61
2011-04-11,22
2011-04-12,21.11
2011-04-13,21.33
2011-04-14,21.39
2011-04-15,21.39
2011-04-18,20.68
2011-04-19,20.59
2011-04-20,20.82
2011-04-21,21.32
2011-04-25,18.92
2011-04-26,18.51
2011-04-27,18.31
2011-04-28,18.3
2011-04-29,18.58
2011-05-02,18.03
2011-05-03,18.01
2011-05-04,17.63
2011-05-05,17.35
2011-05-06,17.31
2011-05-09,17.76
2011-05-10,17.95
2011-05-11,17.93
2011-05-12,17.8
2011-05-13,17.31
2011-05-16,17.02
2011-05-17,16.75
2011-05-18,17.24
2011-05-19,17.24
2011-05-20,17.02
2011-05-23,17
2011-05-24,17
2011-05-25,17.01
2011-05-26,17.21
2011-05-27,17.01
2011-05-31,17.47
2011-06-01,16.8
2011-06-02,16.66
2011-06-03,16.5
2011-06-06,16.49
2011-06-07,16.52
2011-06-08,16.54
2011-06-09,16.73
2011-06-10,16.5
2011-06-13,16.58
2011-06-14,17.54
2011-06-15,17.32
2011-06-16,17.36
2011-06-17,17.51
2011-06-20,17.42
2011-06-21,17.73
2011-06-22,17.56
2011-06-23,18.14
2011-06-24,17.89
2011-06-27,18.17
2011-06-28,18.1
2011-06-29,18.48
2011-06-30,18.84
2011-07-01,19.4
2011-07-05,19.45
2011-07-06,19.47
2011-07-07,19.54
2011-07-08,19.69
2011-07-11,19.04
2011-07-12,18.98
2011-07-13,20
2011-07-14,20.05
2011-07-15,20
2011-07-18,20.09
2011-07-19,19.96
2011-07-20,18.69
2011-07-21,18.35
2011-07-22,13.74
2011-07-25,13.47
2011-07-26,13.12
2011-07-27,12.96
2011-07-28,12.99
2011-07-29,13.09
2011-08-01,13.05
2011-08-02,12.66
2011-08-03,12.68
2011-08-04,11.77
2011-08-05,11.55
2011-08-08,10.32
2011-08-09,11.43
2011-08-10,10.58
2011-08-11,10.77
2011-08-12,10.87
2011-08-15,11.13
2011-08-16,10.78
2011-08-17,10.61
2011-08-18,9.77
2011-08-19,9.64
2011-08-22,9.48
2011-08-23,9.78
2011-08-24,9.73
2011-08-25,9.35
2011-08-26,9.45
2011-08-29,9.97
2011-08-30,9.94
2011-08-31,9.84
2011-09-01,9.54
2011-09-02,9.3
2011-09-06,8.94
2011-09-07,9.25
2011-09-08,8.8
2011-09-09,8.45
2011-09-12,8.58
2011-09-13,8.81
2011-09-14,9.1
2011-09-15,9.28
2011-09-16,9.34
2011-09-19,9.09
2011-09-20,8.91
2011-09-21,8.82
2011-09-22,8.26
2011-09-23,8.43
2011-09-26,8.55
2011-09-27,8.68
2011-09-28,8.17
2011-09-29,8.08
2011-09-30,7.74
2011-10-03,7.5
2011-10-04,7.66
2011-10-05,8.21
2011-10-06,8.55
2011-10-07,8.25
2011-10-10,8.24
2011-10-11,8.12
2011-10-12,8.45
2011-10-13,8.45
2011-10-14,8.42
2011-10-17,7.9
2011-10-18,7.85
2011-10-19,7.4
2011-10-20,7.15
2011-10-21,7.21
2011-10-24,7.51
2011-10-25,7.25
2011-10-26,7.38
2011-10-27,7.9
2011-10-28,6.37
2011-10-31,6.2
2011-11-01,6.08
2011-11-02,6.13
2011-11-03,6.33
2011-11-04,6.54
2011-11-07,6.73
2011-11-08,7.15
2011-11-09,6.86
2011-11-10,7
2011-11-11,7.07
2011-11-14,6.96
2011-11-15,7.24
2011-11-16,6.99
2011-11-17,7.04
2011-11-18,7.1
2011-11-21,7.09
2011-11-22,6.88
2011-11-23,6.75
