"Index","ACGL.Close"
2009-10-14,23.25
2009-10-15,23.48
2009-10-16,23.25
2009-10-19,23.4
2009-10-20,23.09
2009-10-21,22.76
2009-10-22,23.02
2009-10-23,22.96
2009-10-26,22.93
2009-10-27,22.81
2009-10-28,22.47
2009-10-29,22.63
2009-10-30,22.46
2009-11-02,22.6
2009-11-03,22.72
2009-11-04,22.58
2009-11-05,22.65
2009-11-06,22.94
2009-11-09,23.24
2009-11-10,23.16
2009-11-11,23.4
2009-11-12,23.31
2009-11-13,23.32
2009-11-16,23.57
2009-11-17,23.63
2009-11-18,23.67
2009-11-19,23.56
2009-11-20,23.1
2009-11-23,23.17
2009-11-24,23.32
2009-11-25,23.32
2009-11-27,22.94
2009-11-30,23.3
2009-12-01,23.22
2009-12-02,23.31
2009-12-03,23.08
2009-12-04,23.17
2009-12-07,23.09
2009-12-08,22.91
2009-12-09,23.23
2009-12-10,23.35
2009-12-11,23.56
2009-12-14,23.72
2009-12-15,23.76
2009-12-16,23.7
2009-12-17,23.48
2009-12-18,23.64
2009-12-21,23.53
2009-12-22,23.95
2009-12-23,23.85
2009-12-24,23.96
2009-12-28,23.96
2009-12-29,23.96
2009-12-30,23.99
2009-12-31,23.85
2010-01-04,23.98
2010-01-05,23.9
2010-01-06,23.8
2010-01-07,23.66
2010-01-08,23.61
2010-01-11,23.54
2010-01-12,23.61
2010-01-13,23.73
2010-01-14,23.7
2010-01-15,23.66
2010-01-19,24.04
2010-01-20,24.28
2010-01-21,24.24
2010-01-22,23.88
2010-01-25,23.9
2010-01-26,23.76
2010-01-27,23.94
2010-01-28,23.66
2010-01-29,23.85
2010-02-01,23.66
2010-02-02,23.42
2010-02-03,23.43
2010-02-04,23.18
2010-02-05,23.27
2010-02-08,23.22
2010-02-09,23.47
2010-02-10,23.67
2010-02-11,23.88
2010-02-12,24.18
2010-02-16,24.42
2010-02-17,24.12
2010-02-18,24
2010-02-19,24.01
2010-02-22,24.23
2010-02-23,24.22
2010-02-24,24.7
2010-02-25,24.67
2010-02-26,24.66
2010-03-01,25
2010-03-02,25.01
2010-03-03,24.86
2010-03-04,24.92
2010-03-05,25
2010-03-08,25.53
2010-03-09,25.2
2010-03-10,25
2010-03-11,25
2010-03-12,25.02
2010-03-15,24.96
2010-03-16,25.04
2010-03-17,25.25
2010-03-18,25.08
2010-03-19,24.82
2010-03-22,25.05
2010-03-23,25.09
2010-03-24,25.15
2010-03-25,25.09
2010-03-26,25.1
2010-03-29,25.16
2010-03-30,25.05
2010-03-31,25.42
2010-04-05,24.95
2010-04-06,24.85
2010-04-07,24.89
2010-04-08,24.89
2010-04-09,25.07
2010-04-12,25.06
2010-04-13,24.96
2010-04-14,25.27
2010-04-15,25.15
2010-04-16,24.99
2010-04-19,25.29
2010-04-20,25.44
2010-04-21,25.39
