"Index","TSRX.Close"
2012-06-18,5.35
2012-06-19,5.43
2012-06-20,5.36
2012-06-21,5.65
2012-06-22,5.99
2012-06-25,5.94
2012-06-26,5.75
2012-06-27,5.8
2012-06-28,5.58
2012-06-29,5.76
2012-07-02,5.84
2012-07-03,5.84
2012-07-05,5.88
2012-07-06,5.88
2012-07-09,5.94
2012-07-10,5.77
2012-07-11,5.96
2012-07-12,5.89
2012-07-13,5.94
2012-07-16,5.94
2012-07-17,6.32
2012-07-18,6.23
2012-07-19,5.87
2012-07-20,5.87
2012-07-23,5.74
2012-07-24,5.63
2012-07-25,5.69
2012-07-26,5.63
2012-07-27,5.64
2012-07-30,5.61
2012-07-31,5.51
2012-08-01,5.38
2012-08-02,5.29
2012-08-03,5.44
2012-08-06,5.47
2012-08-07,5.42
2012-08-08,5.43
2012-08-09,5.42
2012-08-10,5.37
2012-08-13,5.4
2012-08-14,5.4
2012-08-15,5.39
2012-08-16,5.51
2012-08-17,5.44
2012-08-20,5.43
2012-08-21,5.43
2012-08-22,5.42
2012-08-23,5.46
2012-08-24,5.48
2012-08-27,5.44
2012-08-28,5.49
2012-08-29,5.61
2012-08-30,5.48
2012-08-31,5.55
2012-09-04,5.7
2012-09-05,5.61
2012-09-06,5.9
2012-09-07,5.79
2012-09-10,5.69
2012-09-11,5.82
2012-09-12,5.77
2012-09-13,5.85
2012-09-14,5.96
2012-09-17,6.34
2012-09-18,6.32
2012-09-19,6.24
2012-09-20,6.09
2012-09-21,6.09
2012-09-24,5.94
2012-09-25,5.78
2012-09-26,5.77
2012-09-27,5.92
2012-09-28,5.83
2012-10-01,5.78
2012-10-02,5.9
2012-10-03,5.79
2012-10-04,5.8
2012-10-05,5.66
2012-10-08,5.66
2012-10-09,5.4
2012-10-10,5.5
2012-10-11,5.57
2012-10-12,5.58
2012-10-15,5.52
2012-10-16,5.7
2012-10-17,5.78
2012-10-18,5.78
2012-10-19,5.68
2012-10-22,5.58
2012-10-23,5.67
2012-10-24,5.68
2012-10-25,5.76
2012-10-26,5.72
2012-10-31,5.48
2012-11-01,5.48
2012-11-02,5.42
2012-11-05,5.41
2012-11-06,5.39
2012-11-07,5.08
2012-11-08,4.99
2012-11-09,5.08
2012-11-12,4.99
2012-11-13,4.92
2012-11-14,4.89
2012-11-15,4.85
2012-11-16,4.74
2012-11-19,4.74
2012-11-20,4.93
2012-11-21,4.85
2012-11-23,4.82
2012-11-26,4.91
2012-11-27,5.22
2012-11-28,4.99
2012-11-29,4.94
2012-11-30,4.79
2012-12-03,4.83
2012-12-04,4.75
2012-12-05,4.64
2012-12-06,4.64
2012-12-07,4.48
2012-12-10,4.45
2012-12-11,4.49
2012-12-12,4.58
2012-12-13,4.86
2012-12-14,5.14
2012-12-17,5.05
2012-12-18,5.11
2012-12-19,5.01
2012-12-20,5.03
2012-12-21,4.9
2012-12-24,5.02
2012-12-26,4.84
2012-12-27,4.91
2012-12-28,4.78
2012-12-31,4.78
2013-01-02,5
2013-01-03,5.16
2013-01-04,5.21
2013-01-07,5.23
2013-01-08,5.24
2013-01-09,5.5
2013-01-10,5.44
2013-01-11,5.48
2013-01-14,5.48
2013-01-15,5.43
2013-01-16,5.37
2013-01-17,5.23
2013-01-18,4.9
2013-01-22,4.98
2013-01-23,4.92
2013-01-24,4.88
2013-01-25,4.89
2013-01-28,4.92
2013-01-29,5.28
2013-01-30,5.07
2013-01-31,5.16
2013-02-01,5.21
2013-02-04,5.17
2013-02-05,5.28
2013-02-06,5.28
2013-02-07,5.2
2013-02-08,5.33
2013-02-11,5.3
2013-02-12,5.37
2013-02-13,5.49
2013-02-14,5.49
2013-02-15,5.54
2013-02-19,5.48
2013-02-20,5.46
2013-02-21,5.35
2013-02-22,5.36
2013-02-25,5.17
2013-02-26,5.33
2013-02-27,5.21
2013-02-28,5.25
2013-03-01,5.33
2013-03-04,5.47
2013-03-05,6.12
2013-03-06,6.1
2013-03-07,6.13
2013-03-08,6.22
2013-03-11,6.21
2013-03-12,6.21
2013-03-13,6.7
2013-03-14,6.89
2013-03-15,6.76
2013-03-18,6.79
2013-03-19,6.65
2013-03-20,6.81
2013-03-21,6.81
2013-03-22,6.99
2013-03-25,6.95
2013-03-26,7
2013-03-27,6.95
2013-03-28,6.84
2013-04-01,6.74
2013-04-02,6.92
2013-04-03,6.51
2013-04-04,6.3
2013-04-05,6.48
2013-04-08,6.23
2013-04-09,6.5
2013-04-10,6.49
2013-04-11,6.38
2013-04-12,6.38
2013-04-15,6.24
2013-04-16,6.23
2013-04-17,6.17
2013-04-18,6.28
2013-04-19,6.37
