"Index","ASFI.Close"
2011-02-18,8.41
2011-02-22,8.32
2011-02-23,8.29
2011-02-24,8.47
2011-02-25,8.67
2011-02-28,8.65
2011-03-01,8.39
2011-03-02,8.51
2011-03-03,8.53
2011-03-04,8.49
2011-03-07,8.27
2011-03-08,8.5
2011-03-09,8.49
2011-03-10,8.36
2011-03-11,8.39
2011-03-14,8.17
2011-03-15,8.19
2011-03-16,8.39
2011-03-17,8.25
2011-03-18,8.48
2011-03-21,8.47
2011-03-22,8.4
2011-03-23,8.49
2011-03-24,8.51
2011-03-25,8.52
2011-03-28,8.46
2011-03-29,8.48
2011-03-30,8.55
2011-03-31,8.56
2011-04-01,8.52
2011-04-04,8.33
2011-04-05,8.43
2011-04-06,8.39
2011-04-07,8.18
2011-04-08,8.13
2011-04-11,8.25
2011-04-12,8.05
2011-04-13,8.1
2011-04-14,8.27
2011-04-15,8.47
2011-04-18,8.1
2011-04-19,8.05
2011-04-20,8.14
2011-04-21,8.01
2011-04-25,8.01
2011-04-26,8.03
2011-04-27,8.06
2011-04-28,8.01
2011-04-29,8.11
2011-05-02,7.86
2011-05-03,7.8
2011-05-04,7.68
2011-05-05,7.6
2011-05-06,7.61
2011-05-09,8.07
2011-05-10,7.94
2011-05-11,7.58
2011-05-12,7.6
2011-05-13,7.62
2011-05-16,7.45
2011-05-17,7.69
2011-05-18,7.71
2011-05-19,7.63
2011-05-20,7.46
2011-05-23,7.49
2011-05-24,7.42
2011-05-25,7.38
2011-05-26,7.57
2011-05-27,7.61
2011-05-31,7.72
2011-06-01,7.48
2011-06-02,7.3
2011-06-03,7.27
2011-06-06,7.29
2011-06-07,7.27
2011-06-08,7.29
2011-06-09,7.09
2011-06-10,6.7
2011-06-13,6.78
2011-06-14,7.12
2011-06-15,7.19
2011-06-16,7.18
2011-06-17,7
2011-06-20,7.09
2011-06-21,7.22
2011-06-22,7.41
2011-06-23,7.85
2011-06-24,8.21
2011-06-27,8.5
2011-06-28,8.22
2011-06-29,8.16
2011-06-30,8.39
2011-07-01,8.13
2011-07-05,8.13
2011-07-06,8.11
2011-07-07,8.1
2011-07-08,7.99
2011-07-11,7.94
2011-07-12,7.9
2011-07-13,7.8
2011-07-14,7.77
2011-07-15,7.72
2011-07-18,7.64
2011-07-19,7.65
2011-07-20,7.7
2011-07-21,7.71
2011-07-22,7.92
2011-07-25,7.9
2011-07-26,8.29
2011-07-27,7.85
2011-07-28,7.97
2011-07-29,7.85
2011-08-01,8.01
2011-08-02,7.75
2011-08-03,7.89
2011-08-04,7.92
2011-08-05,7.9
2011-08-08,7.69
2011-08-09,8.14
2011-08-10,8.1
2011-08-11,8.24
2011-08-12,8.33
2011-08-15,8.5
2011-08-16,8.75
2011-08-17,8.74
2011-08-18,8.72
2011-08-19,8.59
2011-08-22,8.35
2011-08-23,8.27
2011-08-24,8.29
2011-08-25,8.26
2011-08-26,8.32
2011-08-29,8.2
2011-08-30,8.19
2011-08-31,8.34
2011-09-01,8.23
2011-09-02,8.06
2011-09-06,8.34
2011-09-07,8.22
2011-09-08,8.35
2011-09-09,8.18
2011-09-12,7.98
2011-09-13,7.95
2011-09-14,7.96
2011-09-15,8.1
2011-09-16,8.27
2011-09-19,8.3
2011-09-20,8.53
2011-09-21,8.41
2011-09-22,8.26
2011-09-23,8.16
2011-09-26,8.06
2011-09-27,8.15
2011-09-28,8.19
2011-09-29,8.09
2011-09-30,8.11
2011-10-03,7.76
2011-10-04,7.54
2011-10-05,7.75
2011-10-06,7.79
2011-10-07,7.6
2011-10-10,7.6
2011-10-11,7.68
2011-10-12,7.72
2011-10-13,7.7
2011-10-14,7.65
2011-10-17,7.59
2011-10-18,7.54
2011-10-19,7.65
2011-10-20,7.6
2011-10-21,7.51
2011-10-24,7.75
2011-10-25,7.46
2011-10-26,7.68
2011-10-27,8
2011-10-28,8
2011-10-31,8.06
2011-11-01,7.95
2011-11-02,7.99
2011-11-03,7.98
2011-11-04,8.19
2011-11-07,8.3
2011-11-08,8.2
2011-11-09,8.24
2011-11-10,8.3
2011-11-11,8.25
2011-11-14,8.3
2011-11-15,8.32
2011-11-16,8.31
2011-11-17,8.25
2011-11-18,8.25
2011-11-21,8.07
2011-11-22,7.97
2011-11-23,7.99
2011-11-25,7.96
2011-11-28,8.16
2011-11-29,8.15
2011-11-30,8.29
2011-12-01,8.1
2011-12-02,8
2011-12-05,7.93
2011-12-06,7.97
2011-12-07,7.95
2011-12-08,7.81
2011-12-09,7.85
2011-12-12,7.85
2011-12-13,7.77
