"Index","MYRX.Close"
2011-07-18,3.51
2011-07-19,3.48
2011-07-20,3.45
2011-07-21,3.48
2011-07-22,3.47
2011-07-25,3.48
2011-07-26,3.46
2011-07-27,3.59
2011-07-28,3.52
2011-07-29,3.39
2011-08-01,3.29
2011-08-02,3.15
2011-08-03,3.01
2011-08-04,2.96
2011-08-05,2.9
2011-08-08,2.75
2011-08-09,2.89
2011-08-10,2.84
2011-08-11,2.88
2011-08-12,2.89
2011-08-15,2.94
2011-08-16,2.94
2011-08-17,2.87
2011-08-18,2.75
2011-08-19,2.77
2011-08-22,2.72
2011-08-23,2.71
2011-08-24,2.71
2011-08-25,2.71
2011-08-26,2.72
2011-08-29,2.76
2011-08-30,2.73
2011-08-31,2.71
2011-09-01,2.7
2011-09-02,2.77
2011-09-06,2.77
2011-09-07,2.81
2011-09-08,2.83
2011-09-09,2.86
2011-09-12,2.79
2011-09-13,2.86
2011-09-14,2.88
2011-09-15,2.91
2011-09-16,2.91
2011-09-19,2.93
2011-09-20,2.83
2011-09-21,2.78
2011-09-22,2.75
2011-09-23,2.8
2011-09-26,2.75
2011-09-27,2.81
2011-09-28,2.71
2011-09-29,2.69
2011-09-30,2.74
2011-10-03,2.77
2011-10-04,2.77
2011-10-05,2.75
2011-10-06,2.77
2011-10-07,2.75
2011-10-10,2.74
2011-10-11,2.75
2011-10-12,2.78
2011-10-13,2.75
2011-10-14,2.76
2011-10-17,2.77
2011-10-18,2.77
2011-10-19,2.74
2011-10-20,2.72
2011-10-21,2.79
2011-10-24,2.84
2011-10-25,2.78
2011-10-26,2.8
2011-10-27,2.81
2011-10-28,2.8
2011-10-31,2.76
2011-11-01,2.77
2011-11-02,2.75
2011-11-03,2.73
2011-11-04,2.69
2011-11-07,2.69
2011-11-08,2.72
2011-11-09,2.67
2011-11-10,2.66
2011-11-11,2.66
2011-11-14,2.64
2011-11-15,2.57
2011-11-16,2.48
2011-11-17,2.46
2011-11-18,2.49
2011-11-21,2.48
2011-11-22,2.48
2011-11-23,2.53
2011-11-25,2.51
2011-11-28,2.58
2011-11-29,2.56
2011-11-30,2.66
2011-12-01,2.67
2011-12-02,2.73
2011-12-05,2.79
2011-12-06,2.8
2011-12-07,2.81
2011-12-08,2.82
2011-12-09,2.79
2011-12-12,2.82
2011-12-13,2.82
2011-12-14,2.8
2011-12-15,2.77
2011-12-16,2.72
2011-12-19,2.7
2011-12-20,2.75
2011-12-21,2.75
2011-12-22,2.83
2011-12-23,2.8
2011-12-27,2.79
2011-12-28,2.76
2011-12-29,2.68
2011-12-30,2.68
2012-01-03,2.6
2012-01-04,2.62
2012-01-05,2.63
2012-01-06,2.72
2012-01-09,2.67
2012-01-10,2.71
2012-01-11,2.69
2012-01-12,2.67
2012-01-13,2.64
2012-01-17,2.59
2012-01-18,2.78
2012-01-19,2.76
2012-01-20,2.73
2012-01-23,2.7
2012-01-24,2.8
2012-01-25,2.83
2012-01-26,2.78
2012-01-27,2.77
2012-01-30,2.7
2012-01-31,2.84
2012-02-01,2.75
2012-02-02,2.76
2012-02-03,2.76
2012-02-06,2.76
2012-02-07,2.81
2012-02-08,2.83
2012-02-09,2.81
2012-02-10,2.81
2012-02-13,2.88
2012-02-14,2.92
2012-02-15,3.28
2012-02-16,3.24
2012-02-17,3.28
2012-02-21,3.26
2012-02-22,3.21
2012-02-23,3.2
2012-02-24,3.24
2012-02-27,3.2
2012-02-28,3.23
2012-02-29,3.2
2012-03-01,3.18
2012-03-02,3.16
2012-03-05,3.16
2012-03-06,3.12
2012-03-07,3.13
2012-03-08,3.11
2012-03-09,3.09
2012-03-12,3.05
2012-03-13,3.03
2012-03-14,3.05
2012-03-15,3.05
2012-03-16,3.24
2012-03-19,3.14
2012-03-20,3.16
2012-03-21,3.14
2012-03-22,3.1
2012-03-23,3.06
2012-03-26,3.09
2012-03-27,3.05
2012-03-28,3.09
2012-03-29,3.08
2012-03-30,3.03
2012-04-02,3.06
2012-04-03,3.07
2012-04-04,3.05
2012-04-05,3.04
2012-04-09,3.08
2012-04-10,3.07
2012-04-11,3.13
2012-04-12,3.14
2012-04-13,3.12
2012-04-16,3.04
2012-04-17,3.03
2012-04-18,3.08
2012-04-19,3.06
2012-04-20,3.06
2012-04-23,3.01
2012-04-24,3.01
2012-04-25,3.02
2012-04-26,3.03
2012-04-27,3.04
2012-04-30,3.02
2012-05-01,3.03
2012-05-02,3.05
2012-05-03,3.09
2012-05-04,3.02
2012-05-07,3.07
2012-05-08,3.08
2012-05-09,3.08
2012-05-10,3.02
2012-05-11,2.75
2012-05-14,2.71
2012-05-15,2.75
2012-05-16,2.73
2012-05-17,2.63
2012-05-18,2.57
2012-05-21,2.47
2012-05-22,2.46
2012-05-23,2.49
2012-05-24,2.49
2012-05-25,2.47
2012-05-29,2.52
2012-05-30,2.45
2012-05-31,2.41
2012-06-01,2.39
2012-06-04,2.46
2012-06-05,2.46
2012-06-06,2.47
2012-06-07,2.39
2012-06-08,2.4
2012-06-11,2.4
2012-06-12,2.46
2012-06-13,2.41
2012-06-14,2.41
2012-06-15,2.34
2012-06-18,2.34
2012-06-19,2.34
2012-06-20,2.35
2012-06-21,2.38
2012-06-22,2.43
2012-06-25,2.4
2012-06-26,2.37
2012-06-27,2.45
2012-06-28,2.41
2012-06-29,2.61
2012-07-02,2.65
2012-07-03,2.53
2012-07-05,2.62
2012-07-06,2.56
2012-07-09,2.56
2012-07-10,2.5
2012-07-11,2.45
2012-07-12,2.51
2012-07-13,2.5
2012-07-16,2.54
2012-07-17,2.49
2012-07-18,2.51
2012-07-19,2.59
2012-07-20,2.67
2012-07-23,2.6
2012-07-24,2.61
2012-07-25,2.62
2012-07-26,2.62
2012-07-27,2.64
2012-07-30,2.67
2012-07-31,2.55
2012-08-01,2.6
2012-08-02,2.59
2012-08-03,2.48
2012-08-06,2.41
2012-08-07,2.5
2012-08-08,2.5
2012-08-09,2.51
2012-08-10,2.5
2012-08-13,2.52
2012-08-14,2.5
2012-08-15,2.55
2012-08-16,2.56
2012-08-17,2.56
2012-08-20,2.56
2012-08-21,2.52
2012-08-22,2.56
2012-08-23,2.51
2012-08-24,2.55
2012-08-27,2.54
2012-08-28,2.53
2012-08-29,2.51
2012-08-30,2.55
2012-08-31,2.51
2012-09-04,2.55
2012-09-05,2.57
2012-09-06,2.55
2012-09-07,2.56
2012-09-10,2.58
2012-09-11,2.6
2012-09-12,2.59
2012-09-13,2.61
2012-09-14,2.54
2012-09-17,2.46
2012-09-18,2.36
2012-09-19,2.35
2012-09-20,2.38
2012-09-21,2.37
2012-09-24,2.36
2012-09-25,2.38
2012-09-26,2.39
2012-09-27,2.44
2012-09-28,2.43
2012-10-01,2.46
2012-10-02,2.4
2012-10-03,2.42
2012-10-04,2.43
2012-10-05,2.43
2012-10-08,2.43
2012-10-09,2.42
2012-10-10,2.39
2012-10-11,2.39
2012-10-12,2.39
2012-10-15,2.43
2012-10-16,2.46
2012-10-17,2.44
2012-10-18,2.42
2012-10-19,2.4
2012-10-22,2.41
2012-10-23,2.42
2012-10-24,2.4
2012-10-25,2.44
2012-10-26,2.47
2012-10-31,2.4
2012-11-01,2.41
2012-11-02,2.37
2012-11-05,2.38
2012-11-06,2.39
2012-11-07,2.36
2012-11-08,2.35
2012-11-09,2.34
2012-11-12,2.76
2012-11-13,2.75
2012-11-14,2.75
2012-11-15,2.75
2012-11-16,2.75
2012-11-19,2.76
2012-11-20,2.77
2012-11-21,2.78
2012-11-23,2.77
2012-11-26,2.76
2012-11-27,2.79
2012-11-28,2.77
2012-11-29,2.79
2012-11-30,2.78
2012-12-03,2.8
2012-12-04,2.79
2012-12-05,2.78
2012-12-06,2.77
2012-12-07,2.78
2012-12-10,2.77
2012-12-11,2.78
2012-12-12,2.78
2012-12-13,2.78
2012-12-14,2.76
2012-12-17,2.78
2012-12-18,2.77
2012-12-19,2.76
2012-12-20,2.76
2012-12-21,2.78
2012-12-24,2.8
2012-12-26,2.81
2012-12-27,2.78
2012-12-28,2.78
2012-12-31,2.83
2013-01-02,2.79
2013-01-03,2.81
2013-01-04,2.79
2013-01-07,2.8
2013-01-08,2.79
2013-01-09,2.8
2013-01-10,2.79
2013-01-11,2.79
2013-01-14,2.79
2013-01-15,2.78
2013-01-16,2.79
2013-01-17,2.79
2013-01-18,2.79
2013-01-22,2.78
2013-01-23,2.91
2013-01-24,2.99
2013-01-25,2.98
2013-01-28,2.99
2013-01-29,2.97
2013-01-30,2.97
2013-01-31,2.94
