"Index","ATMI.Close"
2009-09-03,17.21
2009-09-04,17.51
2009-09-08,17.77
2009-09-09,17.82
2009-09-10,18.49
2009-09-11,18.61
2009-09-14,18.76
2009-09-15,18.72
2009-09-16,18.84
2009-09-17,18.54
2009-09-18,18.67
2009-09-21,18.51
2009-09-22,18.41
2009-09-23,18.3
2009-09-24,18
2009-09-25,17.59
2009-09-28,18.03
2009-09-29,18.16
2009-09-30,18.15
2009-10-01,17.15
2009-10-02,16.55
2009-10-05,16.63
2009-10-06,17.17
2009-10-07,17.08
2009-10-08,17.14
2009-10-09,17.4
2009-10-12,17.79
2009-10-13,18.11
2009-10-14,18.74
2009-10-15,18.59
2009-10-16,18.1
2009-10-19,18.35
2009-10-20,18
2009-10-21,17.35
2009-10-22,17
2009-10-23,16.71
2009-10-26,16.72
2009-10-27,16.3
2009-10-28,15.55
2009-10-29,15.68
2009-10-30,15.15
2009-11-02,14.9
2009-11-03,14.63
2009-11-04,14.65
2009-11-05,14.95
2009-11-06,14.9
2009-11-09,15.56
2009-11-10,15.68
2009-11-11,15.77
2009-11-12,15.53
2009-11-13,15.79
2009-11-16,16.12
2009-11-17,16.01
2009-11-18,15.79
2009-11-19,15.37
2009-11-20,15.6
2009-11-23,15.96
2009-11-24,16
2009-11-25,15.86
2009-11-27,15.61
2009-11-30,15.55
2009-12-01,15.81
2009-12-02,16.05
2009-12-03,16.49
2009-12-04,17.35
2009-12-07,17.3
2009-12-08,17.17
2009-12-09,17.35
2009-12-10,17.39
2009-12-11,17.64
2009-12-14,18.1
2009-12-15,18.33
2009-12-16,18.53
2009-12-17,17.84
2009-12-18,18.31
2009-12-21,18.64
2009-12-22,18.66
2009-12-23,18.96
2009-12-24,19.2
2009-12-28,19.21
2009-12-29,19.1
2009-12-30,19.1
2009-12-31,18.62
2010-01-04,19.01
2010-01-05,19.15
2010-01-06,18.82
2010-01-07,18.85
2010-01-08,18.88
2010-01-11,18.8
2010-01-12,18.44
2010-01-13,18.96
2010-01-14,19.25
2010-01-15,18.31
2010-01-19,18.5
2010-01-20,18.1
2010-01-21,18.2
2010-01-22,17.34
2010-01-25,17.66
2010-01-26,17.35
2010-01-27,17.63
2010-01-28,17.1
2010-01-29,16.78
2010-02-01,16.6
2010-02-02,16.5
2010-02-03,16.97
2010-02-04,15.72
2010-02-05,15.59
2010-02-08,15.77
2010-02-09,16.09
2010-02-10,16.16
2010-02-11,16.9
2010-02-12,17.13
2010-02-16,17.73
2010-02-17,17.63
2010-02-18,17.69
2010-02-19,17.59
2010-02-22,17.59
2010-02-23,16.96
2010-02-24,17.16
2010-02-25,17.15
2010-02-26,16.84
2010-03-01,17.37
2010-03-02,17.53
2010-03-03,17.55
2010-03-04,17.45
2010-03-05,17.89
2010-03-08,17.99
2010-03-09,17.98
2010-03-10,18.19
2010-03-11,18.26
2010-03-12,18.3
2010-03-15,18.23
2010-03-16,18.54
2010-03-17,18.76
2010-03-18,18.54
2010-03-19,18.11
2010-03-22,18.57
2010-03-23,18.96
2010-03-24,18.53
2010-03-25,18.4
2010-03-26,18.66
2010-03-29,18.89
2010-03-30,19.31
2010-03-31,19.31
2010-04-05,19.74
2010-04-06,19.7
2010-04-07,19.8
2010-04-08,19.2
2010-04-09,19.15
2010-04-12,19.45
2010-04-13,19.44
2010-04-14,20.49
2010-04-15,20.75
2010-04-16,20.52
2010-04-19,20.48
2010-04-20,20.99
2010-04-21,20.68
2010-04-22,19.6
2010-04-23,19.51
2010-04-26,19.34
2010-04-27,18.71
2010-04-28,18.95
2010-04-29,19.18
2010-04-30,18.13
2010-05-03,18.59
2010-05-04,17.78
2010-05-05,17.46
2010-05-06,16.86
2010-05-07,16.35
2010-05-10,17.04
2010-05-11,17.03
2010-05-12,17.45
2010-05-13,16.88
2010-05-14,16.82
2010-05-17,17.61
2010-05-18,16.96
2010-05-19,17.07
2010-05-20,15.96
2010-05-21,16.02
2010-05-24,15.79
2010-05-25,15.61
2010-05-26,15.73
2010-05-27,16.35
2010-05-28,16.2
2010-06-01,15.43
2010-06-02,15.69
2010-06-03,16.1
2010-06-04,15.18
2010-06-07,14.55
2010-06-08,14.62
2010-06-09,14.59
2010-06-10,15.38
2010-06-11,15.83
2010-06-14,16.11
2010-06-15,16.82
2010-06-16,16.56
2010-06-17,16.63
2010-06-18,16.58
2010-06-21,16.27
2010-06-22,15.85
2010-06-23,15.56
2010-06-24,15.03
2010-06-25,14.94
2010-06-28,15.45
2010-06-29,14.92
2010-06-30,14.64
2010-07-01,14.62
2010-07-02,14.54
2010-07-06,14.17
2010-07-07,14.52
2010-07-08,14.93
2010-07-09,15.28
2010-07-12,15.07
2010-07-13,15.7
2010-07-14,15.49
2010-07-15,15.29
2010-07-16,14.72
2010-07-19,14.88
2010-07-20,15.29
2010-07-21,14.81
2010-07-22,15.34
2010-07-23,15.7
2010-07-26,15.9
2010-07-27,15.91
2010-07-28,15.49
2010-07-29,15.36
2010-07-30,14.84
2010-08-02,14.95
2010-08-03,14.79
2010-08-04,14.97
2010-08-05,14.89
2010-08-06,14.67
2010-08-09,14.96
2010-08-10,14.7
2010-08-11,14.02
2010-08-12,13.85
2010-08-13,13.4
