"Index","CDCO.Close"
2012-03-26,5.1
2012-03-27,5.25
2012-03-28,5.3
2012-04-04,5.1
2012-04-10,5.25
2012-04-13,5.25
2012-04-16,5.25
2012-04-17,5.25
2012-04-18,5.25
2012-04-20,5.28
2012-04-24,5.05
2012-04-25,5.15
2012-04-26,5.15
2012-04-30,5.25
2012-05-02,5.01
2012-05-03,5.15
2012-05-08,5.25
2012-05-09,5.01
2012-05-10,5.01
2012-05-14,5.15
2012-05-24,5.1
2012-05-30,5.01
2012-05-31,5
2012-06-06,5
2012-06-07,5
2012-06-14,5.15
2012-07-02,5
2012-07-13,5
2012-07-18,4.55
2012-07-23,4.55
2012-07-27,4.46
2012-07-30,4.43
2012-08-03,4.47
2012-08-10,4.05
2012-08-15,4.5
2012-08-24,5
2012-08-27,5.25
2012-09-07,5
2012-09-10,4.9
2012-09-12,4.9
2012-09-14,4.81
2012-09-17,4.81
2012-09-18,5
2012-09-21,5.25
2012-10-10,4.8
2012-10-11,5
2012-10-12,4.81
2012-10-17,4.81
2012-10-22,4.8
2012-10-23,4.8
2012-10-24,5
2012-10-25,4.8
2012-10-31,5.25
2012-11-01,4.8
2012-11-05,4.8
2012-11-06,4.8
2012-11-08,4.8
2012-11-15,4.8
2012-11-19,4.8
2012-11-20,4.8
2012-11-26,4.85
2012-11-30,4.82
2012-12-24,4.57
2012-12-28,4.57
2012-12-31,4.99
2013-01-07,4.75
2013-01-08,4.75
2013-02-08,4.75
2013-02-11,4.75
2013-02-13,4.75
2013-02-14,4.83
2013-02-19,4.82
2013-02-20,4.85
2013-02-21,4.85
2013-02-22,4.85
2013-03-07,4.58
2013-03-11,4.58
2013-04-02,4.85
2013-04-05,4.85
2013-04-08,4.85
2013-04-10,5
2013-04-12,5.1
2013-05-06,5.1
2013-05-14,5.01
2013-06-18,4.75
2013-06-26,4.95
2013-07-11,4.85
2013-07-12,4.83
2013-07-24,4.78
2013-07-26,4.66
2013-07-29,4.66
2013-07-30,4.55
2013-07-31,4.76
2013-08-01,4.67
2013-08-02,4.62
2013-08-05,4.6
