"Index","PCOM.Close"
2014-04-24,23.56
2014-04-25,22.94
2014-04-28,22.77
2014-04-29,22.41
2014-04-30,22.58
2014-05-01,23.35
2014-05-02,23.51
2014-05-05,22.66
2014-05-06,22.86
2014-05-07,21.89
2014-05-08,21.83
2014-05-09,22.55
2014-05-12,21.95
2014-05-13,22.06
2014-05-14,21.34
2014-05-15,21.95
2014-05-16,21.57
2014-05-19,22.48
2014-05-20,22.72
2014-05-21,24.69
2014-05-22,24.6
2014-05-23,24.87
2014-05-27,24.97
2014-05-28,25.36
2014-05-29,25.15
2014-05-30,24.55
2014-06-02,23.74
2014-06-03,23.65
2014-06-04,23.2
2014-06-05,23.84
2014-06-06,24.4
2014-06-09,24.29
2014-06-10,24.38
2014-06-11,24.4
2014-06-12,24.51
2014-06-13,24.69
2014-06-16,24.37
2014-06-17,25.22
2014-06-18,24.95
2014-06-19,24.95
2014-06-20,24.66
2014-06-23,24.98
2014-06-24,23.85
2014-06-25,23.83
2014-06-26,23.32
2014-06-27,23.53
2014-06-30,22.68
2014-07-01,23.17
2014-07-02,23.55
2014-07-03,24
2014-07-07,23.69
2014-07-08,23.65
2014-07-09,23.85
2014-07-10,24.23
2014-07-11,24.41
2014-07-14,23.94
2014-07-15,23
2014-07-16,23.06
2014-07-17,22.78
2014-07-18,22.17
2014-07-21,21.51
2014-07-22,22.01
2014-07-23,22.07
2014-07-24,21.5
2014-07-25,21.54
2014-07-28,18.28
2014-07-29,18.83
2014-07-30,19.68
2014-07-31,18.92
2014-08-01,19.1
2014-08-04,18.91
2014-08-05,18.46
2014-08-06,18.73
2014-08-07,19.69
2014-08-08,19.5
2014-08-11,19.45
2014-08-12,19.4
2014-08-13,18.77
2014-08-14,18.65
2014-08-15,18.14
2014-08-18,18.76
2014-08-19,18.4
2014-08-20,18.1
2014-08-21,17.7
2014-08-22,16.94
2014-08-25,16.99
2014-08-26,17.05
2014-08-27,17.33
2014-08-28,17.54
2014-08-29,17.7
2014-09-02,17.73
2014-09-03,17.51
2014-09-04,17.43
2014-09-05,17.51
2014-09-08,17.26
2014-09-09,17.41
2014-09-10,17.31
2014-09-11,17.15
2014-09-12,17.25
2014-09-15,17.1
2014-09-16,17.22
2014-09-17,17.32
2014-09-18,17.71
2014-09-19,17.73
2014-09-22,17.81
2014-09-23,18.1
2014-09-24,18.06
2014-09-25,17.95
2014-09-26,18.16
2014-09-29,18.23
2014-09-30,17.42
2014-10-01,16.92
2014-10-02,16.67
2014-10-03,16.76
2014-10-06,16.23
2014-10-07,15.38
2014-10-08,15.48
2014-10-09,14.68
2014-10-10,14.37
2014-10-13,14.05
2014-10-14,13.8
2014-10-15,13.96
2014-10-16,14.24
2014-10-17,13.86
2014-10-20,13.92
2014-10-21,14.22
2014-10-22,14
2014-10-23,14.5
2014-10-24,14.53
2014-10-27,15.05
2014-10-28,15.3
2014-10-29,15.01
2014-10-30,15.24
2014-10-31,14.99
2014-11-03,14.88
2014-11-04,14.81
2014-11-05,13.77
2014-11-06,12.99
2014-11-07,13.96
2014-11-10,14.14
2014-11-11,14.18
2014-11-12,14.31
2014-11-13,14.14
2014-11-14,14.19
2014-11-17,14
2014-11-18,14.01
2014-11-19,14.03
2014-11-20,13.71
2014-11-21,13.73
2014-11-24,13.32
2014-11-25,13.3
2014-11-26,13.44
2014-11-28,13.22
2014-12-01,13.27
2014-12-02,12.92
2014-12-03,13.73
2014-12-04,13.74
2014-12-05,13.96
2014-12-08,13.7
2014-12-09,13.61
2014-12-10,12.6
2014-12-11,12.92
2014-12-12,12.56
2014-12-15,12.31
2014-12-16,12.44
2014-12-17,12.88
2014-12-18,12.92
2014-12-19,12.86
2014-12-22,12.95
2014-12-23,13.79
2014-12-24,13.88
2014-12-26,14.07
2014-12-29,12.69
2014-12-30,13.31
2014-12-31,12.79
2015-01-02,13.5
2015-01-05,13.11
2015-01-06,12.86
2015-01-07,12.54
2015-01-08,11.96
2015-01-09,10.95
2015-01-12,11.15
2015-01-13,10.78
