"Index","CM.Close"
2011-11-16,0.00043
2011-11-17,-0.01177
2011-11-18,-0.00145
2011-11-21,-0.02164
2011-11-22,-0.00222
2011-11-23,-0.01794
2011-11-25,-0.01581
2011-11-28,0.02287
2011-11-29,0.0156
2011-11-30,0.05088
2011-12-01,-0.00506
2011-12-02,-0.01076
2011-12-05,0.01231
2011-12-06,0.00169
2011-12-07,0.00168
2011-12-08,-0.02096
2011-12-09,0.0111
2011-12-12,-0.00839
2011-12-13,-0.00889
2011-12-14,-0.01144
2011-12-15,0.00189
2011-12-16,0.01243
2011-12-19,0.00086
2011-12-20,0.02101
2011-12-21,0.00756
2011-12-22,0.0144
2011-12-23,-0.01022
2011-12-27,-0.00501
2011-12-28,-0.01038
2011-12-29,0.0087
2011-12-30,0.01154
2012-01-03,0.02389
2012-01-04,0.00296
2012-01-05,-0.00675
2012-01-06,-0.0168
2012-01-09,0.01014
2012-01-10,0.00503
2012-01-11,-0.00585
2012-01-12,0.00734
2012-01-13,-0.01103
2012-01-17,0.01198
2012-01-18,0.00715
2012-01-19,0.01414
2012-01-20,0.00528
2012-01-23,0.0197
2012-01-24,-0.00687
2012-01-25,-0.0043
2012-01-26,-0.01819
2012-01-27,-0.00186
2012-01-30,0.0028
2012-01-31,0.0111
2012-02-01,0.00981
2012-02-02,-0.0047
2012-02-03,0.00457
2012-02-06,-0.00052
2012-02-07,-0.00065
2012-02-08,0.0074
2012-02-09,0.00116
2012-02-10,-0.00844
2012-02-13,0.00247
2012-02-14,-0.00052
2012-02-15,0.00026
2012-02-16,0.00571
2012-02-17,-0.00337
2012-02-21,0.00827
2012-02-22,-0.00866
2012-02-23,0.00143
2012-02-24,-0.0082
2012-02-27,0.00313
2012-02-28,0.00933
2012-02-29,0.00077
2012-03-01,0.00668
2012-03-02,-0.00308
2012-03-05,-0.00567
2012-03-06,-0.01655
2012-03-07,0.00171
2012-03-08,0.00745
2012-03-09,-0.01508
2012-03-12,-0.00743
2012-03-13,0.02121
2012-03-14,0.00039
2012-03-15,0.0083
2012-03-16,0.00759
2012-03-19,0.00038
2012-03-20,-0.00604
2012-03-21,0.00309
2012-03-22,-0.00296
2012-03-23,0.00707
2012-03-26,-0.00385
2012-03-27,-0.00348
2012-03-28,-0.00764
2012-03-29,-0.00273
2012-03-30,-0.00313
2012-04-02,0.00924
2012-04-03,-0.00715
2012-04-04,-0.00026
2012-04-05,-0.00984
2012-04-09,-0.00661
2012-04-10,-0.01605
2012-04-11,0.00939
2012-04-12,0.01379
2012-04-13,-0.01727
2012-04-16,0.00694
2012-04-17,0.00637
