"Index","WBNK.Close"
2009-05-12,3.5
2009-05-13,3.56
2009-05-14,3.25
2009-05-15,3
2009-05-18,3.52
2009-05-19,3.33
2009-05-20,3.58
2009-05-21,3.28
2009-05-22,3.25
2009-05-26,3.35
2009-05-27,3.36
2009-05-28,3.35
2009-05-29,3.41
2009-06-01,3.3
2009-06-02,3.5
2009-06-03,3.7
2009-06-04,3.78
2009-06-05,3.3
2009-06-08,3.46
2009-06-09,3.75
2009-06-10,3.75
2009-06-11,3.8
2009-06-12,3.75
2009-06-15,3.75
2009-06-16,3.75
2009-06-17,3.75
2009-06-18,3.75
2009-06-19,3.75
2009-06-22,3.75
2009-06-23,3.75
2009-06-24,3.75
2009-06-25,3.75
2009-06-26,3.75
2009-06-29,3.75
2009-06-30,3.75
2009-07-01,4.24
2009-07-02,3.76
2009-07-06,4.22
2009-07-07,3.75
2009-07-08,3.75
2009-07-09,3.75
2009-07-10,3.95
2009-07-13,3.38
2009-07-14,3.3
2009-07-15,3.31
2009-07-16,3.3
2009-07-17,3.4
2009-07-20,3.4
2009-07-21,3.4
2009-07-22,3.4
2009-07-23,3.72
2009-07-24,3.44
2009-07-27,3.4
2009-07-28,3.4
2009-07-29,3.48
2009-07-30,3.48
2009-07-31,3.48
2009-08-03,3.57
2009-08-04,3.5
2009-08-05,3.72
2009-08-06,3.48
2009-08-07,4
2009-08-10,3.4
2009-08-11,3.4
2009-08-12,3.4
2009-08-13,3.45
2009-08-14,3.4
2009-08-17,3.4
2009-08-18,3.4
2009-08-19,3.4
2009-08-20,3.3
2009-08-21,2.99
2009-08-24,3
2009-08-25,2.85
2009-08-26,2.99
2009-08-27,3.01
2009-08-28,3.5
2009-08-31,3
2009-09-01,3.14
2009-09-02,3.45
2009-09-03,3.14
2009-09-04,3.5
2009-09-08,3.5
2009-09-09,3
2009-09-10,3.01
2009-09-11,3
2009-09-14,2.95
2009-09-15,3.02
2009-09-16,3
2009-09-17,2.95
2009-09-18,2.85
2009-09-21,2.9
2009-09-22,3.44
2009-09-23,2.85
2009-09-24,2.95
2009-09-25,3.3
2009-09-28,2.99
2009-09-29,3.49
2009-09-30,3.1
2009-10-01,3.15
2009-10-02,3.1
2009-10-05,3.1
2009-10-06,2.93
2009-10-07,3
2009-10-08,3
2009-10-09,3.14
2009-10-12,3
2009-10-13,3
2009-10-14,3
2009-10-15,3.05
2009-10-16,3.01
2009-10-19,4
2009-10-20,4.66
2009-10-21,4.49
2009-10-22,4.04
2009-10-23,4.59
2009-10-26,4.15
2009-10-27,4.15
2009-10-28,3.35
2009-10-29,3.36
2009-10-30,3.36
2009-11-02,4.13
2009-11-03,3.5
2009-11-04,3.46
2009-11-05,3.46
2009-11-06,3.5
2009-11-09,3.48
2009-11-10,3.1
2009-11-11,3.48
2009-11-12,3.5
2009-11-13,4.07
2009-11-16,4.28
2009-11-17,3.8
2009-11-18,3.89
2009-11-19,3.81
2009-11-20,3.48
2009-11-23,3.69
2009-11-24,3.5
2009-11-25,3.35
2009-11-27,3.36
2009-11-30,3.4
2009-12-01,3.35
2009-12-02,3.2
2009-12-03,3.4
2009-12-04,3.54
2009-12-07,3.4
2009-12-08,3.4
2009-12-09,3.5
2009-12-10,3.3
2009-12-11,3.3
2009-12-14,3.3
2009-12-15,3
2009-12-16,3.34
2009-12-17,3.1
2009-12-18,3.05
2009-12-21,3.25
2009-12-22,3.11
2009-12-23,3.45
2009-12-24,3.12
2009-12-28,3
2009-12-29,3.35
2009-12-30,3.01
2009-12-31,3
2010-01-04,3.27
2010-01-05,3.32
2010-01-06,3.25
2010-01-07,3.02
2010-01-08,3.31
2010-01-11,3.01
2010-01-12,3.11
2010-01-13,3.08
2010-01-14,3.04
2010-01-15,3.32
2010-01-19,2.95
2010-01-20,2.85
2010-01-21,3.12
2010-01-22,3.2
2010-01-25,3.13
2010-01-26,2.89
2010-01-27,2.95
2010-01-28,2.85
2010-01-29,2.85
2010-02-01,2.85
2010-02-02,2.89
2010-02-03,3
2010-02-04,3.05
2010-02-05,2.85
2010-02-08,2.99
2010-02-09,2.85
2010-02-10,2.98
2010-02-11,3.13
2010-02-12,2.85
2010-02-16,3.08
2010-02-17,2.85
2010-02-18,2.85
2010-02-19,2.87
2010-02-22,2.67
2010-02-23,2.64
2010-02-24,2.45
2010-02-25,2.29
2010-02-26,2.45
2010-03-01,2.62
2010-03-02,2.49
2010-03-03,2.46
2010-03-04,2.5
2010-03-05,2.41
2010-03-08,2.5
2010-03-09,2.4
2010-03-10,2.32
2010-03-11,2.33
2010-03-12,1.76
2010-03-15,2.44
2010-03-16,2.28
2010-03-17,2.28
2010-03-18,2.35
2010-03-19,2.48
2010-03-22,2.12
2010-03-23,2.15
2010-03-24,2.15
2010-03-25,2.29
2010-03-26,2.15
2010-03-29,2.15
2010-03-30,2.1
2010-03-31,2.39
2010-04-01,2.33
2010-04-05,2.28
2010-04-06,2.5
2010-04-07,2.38
2010-04-08,2.23
2010-04-09,2.29
2010-04-12,2.41
2010-04-13,2.26
2010-04-14,2.31
2010-04-15,2.31
2010-04-16,2.45
2010-04-19,2.31
2010-04-20,2.25
2010-04-21,2.31
2010-04-22,2.2
2010-04-23,2.14
2010-04-26,2.35
2010-04-27,2.3
2010-04-28,2.6
2010-04-29,2.84
2010-04-30,2.79
2010-05-03,3.91
2010-05-04,3.52
2010-05-05,3.4
2010-05-06,3.43
2010-05-07,3.05
2010-05-10,3.39
2010-05-11,3.01
2010-05-12,3.71
2010-05-13,3.4
2010-05-14,3.18
2010-05-17,3.13
2010-05-18,3.25
2010-05-19,3.14
2010-05-20,2.65
2010-05-21,2.81
2010-05-24,2.77
2010-05-25,2.65
2010-05-26,2.5
2010-05-27,2.56
2010-05-28,3.08
2010-06-01,3.4
2010-06-02,3.35
2010-06-03,3.16
2010-06-04,3.16
2010-06-07,3.11
2010-06-08,2.87
2010-06-09,3.18
2010-06-10,2.83
2010-06-11,2.8
2010-06-14,2.71
2010-06-15,2.71
2010-06-16,2.65
2010-06-17,2.85
2010-06-18,2.9
2010-06-21,2.27
2010-06-22,1.78
2010-06-23,1.48
2010-06-24,1.32
2010-06-25,1.35
2010-06-28,1.55
2010-06-29,1.58
2010-06-30,1.7
2010-07-01,1.64
2010-07-02,1.78
2010-07-06,1.7
2010-07-07,1.72
2010-07-08,1.8
2010-07-09,1.9
2010-07-12,1.69
2010-07-13,1.57
2010-07-14,1.55
2010-07-15,1.56
2010-07-16,1.43
2010-07-19,1.41
2010-07-20,1.64
2010-07-21,1.8
2010-07-22,1.49
2010-07-23,1.35
2010-07-26,1.31
2010-07-27,1.38
2010-07-28,1.19
2010-07-29,1.07
2010-07-30,1.11
2010-08-02,1.17
2010-08-03,1.2
2010-08-04,1.15
2010-08-05,1.3
2010-08-06,1.29
2010-08-09,1.15
2010-08-10,1.12
2010-08-11,1.12
2010-08-12,1.29
2010-08-13,1.17
2010-08-16,1.15
2010-08-17,1.2
2010-08-18,0.92
2010-08-19,0.83
2010-08-20,0.9
2010-08-23,0.9
2010-08-24,0.8
2010-08-25,0.97
2010-08-26,0.98
2010-08-27,0.9
2010-08-30,0.9
2010-08-31,1
2010-09-01,1.17
2010-09-02,1
2010-09-03,0.91
2010-09-07,1.19
2010-09-08,1.15
2010-09-09,1.18
2010-09-10,1.15
2010-09-13,1.2
2010-09-14,1.13
2010-09-15,1.24
2010-09-16,1.25
2010-09-17,1.2
2010-09-20,1.21
2010-09-21,1.15
2010-09-22,1.21
2010-09-23,1.2
2010-09-24,1.26
2010-09-27,1.19
2010-09-28,1.25
2010-09-29,1.17
2010-09-30,1.24
2010-10-01,1.23
2010-10-04,1.23
2010-10-05,1.26
2010-10-06,1.29
2010-10-07,1.27
2010-10-08,1.25
2010-10-11,1.25
2010-10-12,1.25
2010-10-13,1.3
2010-10-14,1.25
2010-10-15,1.25
2010-10-18,1.25
2010-10-19,1.25
2010-10-20,1.3
2010-10-21,1.21
2010-10-22,1.16
2010-10-25,1.16
2010-10-26,1.31
2010-10-27,1.1
2010-10-28,1.22
2010-10-29,1.16
2010-11-01,1.12
2010-11-02,1.12
2010-11-03,1.06
2010-11-04,1.15
2010-11-05,1.15
2010-11-08,1.15
2010-11-09,1.15
2010-11-10,1.15
2010-11-11,1.1
2010-11-12,1.1
2010-11-15,1.1
2010-11-16,1.1
2010-11-17,1.1
2010-11-18,1.1
2010-11-19,1.23
2010-11-22,1.1
2010-11-23,1.05
2010-11-24,1.55
2010-11-26,1.5
2010-11-29,1.25
2010-11-30,1.13
2010-12-01,1.06
2010-12-02,1.29
2010-12-03,1.2
2010-12-06,1.06
2010-12-07,1.07
2010-12-08,1.09
2010-12-09,1.09
2010-12-10,1.04
2010-12-13,1.06
2010-12-14,1.09
2010-12-15,1.08
2010-12-16,1.3
2010-12-17,1.15
2010-12-20,1.15
2010-12-21,1.15
2010-12-22,1.15
2010-12-23,0.94
2010-12-27,1.15
2010-12-28,1.1
2010-12-29,1.12
2010-12-30,1.13
