"Index","ALTI.Close"
2010-07-16,0.39
2010-07-19,0.38
2010-07-20,0.38
2010-07-21,0.37
2010-07-22,0.38
2010-07-23,0.38
2010-07-26,0.38
2010-07-27,0.37
2010-07-28,0.37
2010-07-29,0.38
2010-07-30,0.37
2010-08-02,0.37
2010-08-03,0.36
2010-08-04,0.36
2010-08-05,0.41
2010-08-06,0.41
2010-08-09,0.43
2010-08-10,0.4
2010-08-11,0.4
2010-08-12,0.42
2010-08-13,0.43
2010-08-16,0.4
2010-08-17,0.42
2010-08-18,0.43
2010-08-19,0.43
2010-08-20,0.41
2010-08-23,0.43
2010-08-24,0.4
2010-08-25,0.4
2010-08-26,0.4
2010-08-27,0.42
2010-08-30,0.4
2010-08-31,0.43
2010-09-01,0.44
2010-09-02,0.53
2010-09-03,0.6
2010-09-07,0.75
2010-09-08,0.65
2010-09-09,0.58
2010-09-10,0.59
2010-09-13,0.64
2010-09-14,0.65
2010-09-15,0.66
2010-09-16,0.67
2010-09-17,0.69
2010-09-20,0.72
2010-09-21,0.72
2010-09-22,0.69
2010-09-23,0.68
2010-09-24,0.66
2010-09-27,0.69
2010-09-28,0.66
2010-09-29,0.64
2010-09-30,0.62
2010-10-01,0.69
2010-10-04,0.66
2010-10-05,0.66
2010-10-06,0.67
2010-10-07,0.66
2010-10-08,0.66
2010-10-11,0.65
2010-10-12,0.65
2010-10-13,0.65
2010-10-14,0.62
2010-10-15,0.66
2010-10-18,0.63
2010-10-19,0.65
2010-10-20,0.62
2010-10-21,0.61
2010-10-22,0.61
2010-10-25,0.57
2010-10-26,0.52
2010-10-27,0.53
2010-10-28,0.52
2010-10-29,0.55
2010-11-01,0.54
2010-11-02,0.53
2010-11-03,0.58
2010-11-04,0.59
2010-11-05,0.62
2010-11-08,0.67
2010-11-09,0.7
2010-11-10,0.66
2010-11-11,0.64
2010-11-12,0.65
2010-11-15,0.65
2010-11-16,2.58
2010-11-17,2.64
2010-11-18,2.54
2010-11-19,2.31
2010-11-22,2.35
2010-11-23,2.29
2010-11-24,2.34
2010-11-26,2.41
2010-11-29,2.34
2010-11-30,2.33
2010-12-01,2.29
2010-12-02,2.23
2010-12-03,2.1
2010-12-06,1.94
2010-12-07,1.79
2010-12-08,2.24
2010-12-09,2.22
2010-12-10,2.04
2010-12-13,2.09
2010-12-14,2.08
2010-12-15,1.98
2010-12-16,2
2010-12-17,2.17
2010-12-20,2.12
2010-12-21,2.14
2010-12-22,2.09
2010-12-23,2.07
2010-12-27,2.01
2010-12-28,1.97
2010-12-29,2.31
2010-12-30,2.55
2010-12-31,2.76
2011-01-03,2.76
2011-01-04,2.68
2011-01-05,2.65
2011-01-06,2.69
2011-01-07,2.59
2011-01-10,2.49
2011-01-11,2.48
2011-01-12,2.58
2011-01-13,2.72
2011-01-14,2.89
2011-01-18,2.9
2011-01-19,2.76
2011-01-20,2.67
2011-01-21,2.35
2011-01-24,2.47
2011-01-25,2.56
2011-01-26,2.49
2011-01-27,2.58
2011-01-28,2.6
2011-01-31,2.9
2011-02-01,3.01
2011-02-02,3.04
2011-02-03,3.13
2011-02-04,3.09
2011-02-07,3.18
2011-02-08,3.13
2011-02-09,2.82
2011-02-10,2.87
2011-02-11,2.87
2011-02-14,2.87
2011-02-15,2.83
2011-02-16,2.75
2011-02-17,2.67
2011-02-18,2.58
2011-02-22,2.52
2011-02-23,2.51
2011-02-24,2.47
2011-02-25,2.53
2011-02-28,2.7
2011-03-01,2.71
2011-03-02,2.55
2011-03-03,2.52
2011-03-04,2.56
2011-03-07,2.59
2011-03-08,2.66
2011-03-09,2.68
2011-03-10,2.61
2011-03-11,2.55
2011-03-14,2.59
2011-03-15,2.37
2011-03-16,2.26
2011-03-17,2.35
2011-03-18,2.31
