"Index","ASTE.Close"
2011-05-31,37.52
2011-06-01,35.78
2011-06-02,36.05
2011-06-03,35.25
2011-06-06,34.54
2011-06-07,34.7
2011-06-08,34.19
2011-06-09,34.6
2011-06-10,34.42
2011-06-13,34
2011-06-14,34.98
2011-06-15,34.57
2011-06-16,34.26
2011-06-17,34.69
2011-06-20,35.36
2011-06-21,36.21
2011-06-22,35.57
2011-06-23,35.28
2011-06-24,35.27
2011-06-27,35.2
2011-06-28,35.94
2011-06-29,35.95
2011-06-30,36.98
2011-07-01,37.73
2011-07-05,38.22
2011-07-06,38.9
2011-07-07,39.12
2011-07-08,38.97
2011-07-11,38.05
2011-07-12,37.75
2011-07-13,38.53
2011-07-14,37.65
2011-07-15,38.65
2011-07-18,37.76
2011-07-19,38.24
2011-07-20,37.99
2011-07-21,39.37
2011-07-22,38.33
2011-07-25,37.46
2011-07-26,37.86
2011-07-27,37.28
2011-07-28,37.68
2011-07-29,37.52
2011-08-01,37.3
2011-08-02,35.14
2011-08-03,35.02
2011-08-04,32.48
2011-08-05,32.22
2011-08-08,28.85
2011-08-09,31.41
2011-08-10,29.24
2011-08-11,31.04
2011-08-12,31.65
2011-08-15,32.54
2011-08-16,32.22
2011-08-17,31.96
2011-08-18,29.11
2011-08-19,29.05
2011-08-22,29.24
2011-08-23,30.96
2011-08-24,31.92
2011-08-25,30.51
2011-08-26,31.78
2011-08-29,33.92
2011-08-30,34.45
2011-08-31,34.61
2011-09-01,33.22
2011-09-02,31.66
2011-09-06,32.06
2011-09-07,34.04
2011-09-08,34.33
2011-09-09,32.55
2011-09-12,31.59
2011-09-13,32.8
2011-09-14,33.5
2011-09-15,34.19
2011-09-16,34.29
2011-09-19,33.3
2011-09-20,32.53
2011-09-21,31.66
2011-09-22,30.21
2011-09-23,30.33
2011-09-26,30.39
2011-09-27,31.64
2011-09-28,29.47
2011-09-29,30.57
2011-09-30,29.28
2011-10-03,27.07
2011-10-04,30.03
2011-10-05,30.24
2011-10-06,30.77
2011-10-07,29.8
2011-10-10,31.75
2011-10-11,31.89
2011-10-12,32.56
2011-10-13,32.7
2011-10-14,34.44
2011-10-17,32.47
2011-10-18,33.81
2011-10-19,32.51
2011-10-20,31.55
2011-10-21,33.19
2011-10-24,34.6
2011-10-25,31.7
2011-10-26,32
2011-10-27,34.7
2011-10-28,34.51
2011-10-31,33.25
2011-11-01,32.24
2011-11-02,33.65
2011-11-03,34.26
2011-11-04,33.94
2011-11-07,33.82
2011-11-08,34.71
2011-11-09,32.97
2011-11-10,33.19
2011-11-11,34.43
2011-11-14,33.64
2011-11-15,34.4
2011-11-16,33.44
2011-11-17,32.86
2011-11-18,32.5
2011-11-21,31.64
2011-11-22,30.92
2011-11-23,29.7
2011-11-25,28.94
2011-11-28,30.12
2011-11-29,29.98
2011-11-30,33.45
2011-12-01,32.58
2011-12-02,32.85
2011-12-05,33.25
2011-12-06,33.93
2011-12-07,34.25
2011-12-08,32.75
2011-12-09,34.4
2011-12-12,33.36
2011-12-13,32.51
2011-12-14,30.67
2011-12-15,31.49
2011-12-16,31.68
2011-12-19,30.72
2011-12-20,32.74
2011-12-21,33.14
2011-12-22,33.39
2011-12-23,33.23
2011-12-27,33.42
2011-12-28,31.84
2011-12-29,32.22
2011-12-30,32.21
2012-01-03,33.39
2012-01-04,33.78
2012-01-05,33.71
2012-01-06,33.17
2012-01-09,33.61
2012-01-10,34.76
2012-01-11,35.05
2012-01-12,35.52
2012-01-13,34.72
2012-01-17,34.55
2012-01-18,34.89
2012-01-19,34.57
2012-01-20,33.91
2012-01-23,33.98
2012-01-24,34.46
2012-01-25,34.75
2012-01-26,34.3
2012-01-27,34.3
2012-01-30,33.79
2012-01-31,33.82
2012-02-01,34.25
2012-02-02,33.94
2012-02-03,35.7
2012-02-06,36.93
2012-02-07,37.03
2012-02-08,37.8
2012-02-09,37.52
2012-02-10,36.73
2012-02-13,37.6
2012-02-14,36.98
2012-02-15,35.88
2012-02-16,36.68
2012-02-17,36.46
2012-02-21,38.94
2012-02-22,39.66
2012-02-23,39.9
2012-02-24,39.6
2012-02-27,39.35
2012-02-28,39.1
2012-02-29,37.95
2012-03-01,38.09
2012-03-02,37.26
2012-03-05,37.09
2012-03-06,35.58
2012-03-07,35.9
2012-03-08,36.57
2012-03-09,37.08
2012-03-12,36.56
2012-03-13,37.62
2012-03-14,36.84
2012-03-15,37.64
2012-03-16,37.62
2012-03-19,38
2012-03-20,37.17
2012-03-21,37.13
2012-03-22,36.16
2012-03-23,36.95
2012-03-26,38.37
2012-03-27,38
2012-03-28,37.54
2012-03-29,36.7
2012-03-30,36.48
2012-04-02,36.8
2012-04-03,36.65
2012-04-04,36.42
2012-04-05,36.81
2012-04-09,35.81
2012-04-10,34.78
2012-04-11,35.04
2012-04-12,35.76
2012-04-13,34.99
2012-04-16,34.65
