"Index","JLA.Close"
2012-08-27,-0.00081
2012-08-28,0.00243
2012-08-29,0.00081
2012-08-30,-0.00242
2012-08-31,0.00484
2012-09-04,0.00241
2012-09-05,-0.00402
2012-09-06,0.00803
2012-09-07,-8e-04
2012-09-10,-0.00321
2012-09-11,0.00321
2012-09-12,-0.01533
2012-09-13,0.00729
2012-09-14,0.00644
2012-09-17,-0.00161
2012-09-18,-0.00483
2012-09-19,0.00724
2012-09-20,0.0032
2012-09-21,0.00716
2012-09-24,0.00158
2012-09-25,-0.00635
2012-09-26,8e-04
2012-09-27,0.01187
2012-09-28,-0.00394
2012-10-01,0.00865
2012-10-02,-0.01738
2012-10-03,-0.00399
2012-10-04,0.00558
2012-10-05,-0.00239
2012-10-08,0.00715
2012-10-09,-0.00795
2012-10-10,-0.0048
2012-10-11,-8e-04
2012-10-12,0.0016
2012-10-15,8e-04
2012-10-16,-0.0024
2012-10-17,-0.00563
2012-10-18,-0.00485
2012-10-19,-0.01388
2012-10-22,0.00082
2012-10-23,0.00492
2012-10-24,-0.0041
2012-10-25,-0.00576
2012-10-26,0.00412
2012-10-31,0.00492
2012-11-01,0.00896
2012-11-02,-0.00406
2012-11-05,-0.00245
2012-11-06,0.01298
2012-11-07,-0.01461
2012-11-08,-0.00903
2012-11-09,-0.00995
2012-11-12,0.00167
2012-11-13,-0.00584
2012-11-14,-0.03838
2012-11-15,-0.02198
2012-11-16,0.02718
2012-11-19,0.02899
2012-11-20,0.00168
2012-11-21,0.01416
2012-11-23,0.00495
2012-11-26,0.00329
2012-11-27,0.00164
2012-11-28,0.00653
2012-11-29,0
2012-11-30,-0.00735
2012-12-03,-0.00493
2012-12-04,-0.00247
2012-12-05,-0.00663
2012-12-06,-0.00416
2012-12-07,0.00748
2012-12-10,-0.00249
2012-12-11,0.0058
2012-12-12,-0.0217
2012-12-13,-0.00253
2012-12-14,-0.00339
2012-12-17,0.00508
2012-12-18,0.00589
2012-12-19,-0.00168
2012-12-20,0.00336
2012-12-21,-0.00588
2012-12-24,0
2012-12-26,-0.00084
2012-12-27,-0.00084
2012-12-28,-0.00678
2012-12-31,0.01183
2013-01-02,0.02244
2013-01-03,-0.00577
2013-01-04,0.00987
2013-01-07,0
2013-01-08,0.00082
2013-01-09,0.00489
2013-01-10,0.0073
2013-01-11,0.00081
2013-01-14,-0.00404
2013-01-15,-0.00081
2013-01-16,0.00727
2013-01-17,0.00161
2013-01-18,0
2013-01-22,0.00321
2013-01-23,0.0032
2013-01-24,0.0016
2013-01-25,0.00477
2013-01-28,-0.00877
2013-01-29,8e-04
2013-01-30,-0.00884
2013-01-31,0.00161
2013-02-01,-0.00161
2013-02-04,-0.00485
2013-02-05,0.00566
2013-02-06,0.00803
2013-02-07,8e-04
2013-02-08,8e-04
2013-02-11,-0.004
2013-02-12,0.00719
2013-02-13,-0.00159
2013-02-14,0
2013-02-15,8e-04
2013-02-19,0.00159
2013-02-20,-0.00959
2013-02-21,-0.00645
2013-02-22,0.01125
2013-02-25,-0.00883
2013-02-26,0.00402
2013-02-27,0.00241
2013-02-28,-0.00241
2013-03-01,0.0072
2013-03-04,8e-04
2013-03-05,0.00635
2013-03-06,0.00158
2013-03-07,-0.00158
2013-03-08,0.00237
2013-03-11,0.00394
2013-03-12,0.00157
2013-03-13,-0.02064
2013-03-14,-0.00161
2013-03-15,-0.00402
2013-03-18,-0.00404
2013-03-19,-0.00324
2013-03-20,0.00809
2013-03-21,0
2013-03-22,0.00803
2013-03-25,-0.004
2013-03-26,0.0064
2013-03-27,-0.004
2013-03-28,-0.00482
2013-04-01,-8e-04
2013-04-02,0.00402
2013-04-03,-0.00402
2013-04-04,8e-04
2013-04-05,8e-04
2013-04-08,0
2013-04-09,0.00561
2013-04-10,0.00637
2013-04-11,0.00079
2013-04-12,-0.00079
2013-04-15,-0.0144
2013-04-16,0.01281
2013-04-17,-0.00799
2013-04-18,-0.00482
2013-04-19,0.00562
2013-04-22,0.00639
2013-04-23,0.00397
2013-04-24,-0.00079
2013-04-25,0.00712
2013-04-26,-0.00079
2013-04-29,-0.00158
2013-04-30,0
2013-05-01,-0.00158
2013-05-02,0.00945
2013-05-03,0.00235
2013-05-06,-0.00313
2013-05-07,0.00859
2013-05-08,-0.00624
2013-05-09,-0.00078
2013-05-10,0.00547
2013-05-13,0.00311
2013-05-14,0.00696
2013-05-15,0.00308
2013-05-16,0
2013-05-17,0.0023
2013-05-20,-0.00461
2013-05-21,0.00384
2013-05-22,-0.00384
2013-05-23,0.00077
2013-05-24,-0.00231
2013-05-28,0.00308
2013-05-29,-0.01161
2013-05-30,0.00233
2013-05-31,-0.01171
2013-06-03,-0.00947
2013-06-04,0.00079
2013-06-05,-0.01437
2013-06-06,0.0088
2013-06-07,0.01345
2013-06-10,0.00157
2013-06-11,-0.00236
2013-06-12,-0.02873
2013-06-13,0.01047
2013-06-14,-0.00724
2013-06-17,-0.00485
2013-06-18,0.00888
2013-06-19,-0.00564
2013-06-20,-0.01877
2013-06-21,0.00247
2013-06-24,-0.0216
2013-06-25,0.00669
2013-06-26,0.02145
2013-06-27,0.00245
2013-06-28,0.00487
2013-07-01,0.00968
2013-07-02,-0.00241
2013-07-03,-0.00889
2013-07-05,0.00728
2013-07-08,0.00241
2013-07-09,0.00561
2013-07-10,-0.0016
2013-07-11,0.01273
2013-07-12,-0.00714
2013-07-15,0.00477
2013-07-16,-0.00716
2013-07-17,8e-04
2013-07-18,0
2013-07-19,-0.0048
2013-07-22,-0.00966
2013-07-23,0.00886
2013-07-24,-0.00482
2013-07-25,0.01201
2013-07-26,0.00872
2013-07-29,-0.00633
2013-07-30,-0.00318
2013-07-31,0.00239
2013-08-01,0.00238
2013-08-02,-0.00636
2013-08-05,-0.0048
2013-08-06,0.00719
2013-08-07,-0.00159
2013-08-08,-8e-04
2013-08-09,-0.00641
2013-08-12,0.00641
2013-08-13,8e-04
2013-08-14,-0.00801
2013-08-15,-0.00726
2013-08-16,-0.00162
2013-08-19,0
2013-08-20,0.00324
2013-08-21,0
2013-08-22,0.00564
2013-08-23,8e-04
2013-08-26,8e-04
2013-08-27,-0.01292
2013-08-28,0.00244
2013-08-29,0.00243
2013-08-30,-0.00243
2013-09-03,0.00081
2013-09-04,0.00646
2013-09-05,-0.00484
2013-09-06,0.00242
2013-09-09,0.00804
2013-09-10,0.00638
2013-09-11,-0.02171
2013-09-12,0
2013-09-13,0.00325
2013-09-16,0.00081
2013-09-17,0.00081
2013-09-18,0.01286
2013-09-19,-0.0048
2013-09-20,-0.00563
2013-09-23,-0.00323
2013-09-24,-0.00162
2013-09-25,-0.00325
2013-09-26,0.0073
2013-09-27,-0.00405
2013-09-30,-0.01635
2013-10-01,0.01229
2013-10-02,-0.00408
2013-10-03,-0.00574
2013-10-04,0.00492
2013-10-07,-0.00739
2013-10-08,-0.00828
2013-10-09,0
2013-10-10,0.01649
2013-10-11,0.00163
2013-10-14,-0.00082
2013-10-15,-0.00985
2013-10-16,0.01067
2013-10-17,0.00407
2013-10-18,0.00648
2013-10-21,-0.00243
2013-10-22,0.00404
2013-10-23,-0.00404
2013-10-24,0.00081
2013-10-25,0.00242
2013-10-28,0
2013-10-29,0.00161
2013-10-30,-0.00161
2013-10-31,0.00242
2013-11-01,0.00161
2013-11-04,0.00401
2013-11-05,-0.00482
2013-11-06,0.00161
2013-11-07,-0.00969
2013-11-08,0.00566
2013-11-11,-0.00081
2013-11-12,-0.00242
2013-11-13,0.00484
2013-11-14,0.00482
2013-11-15,0.004
2013-11-18,-0.0032
2013-11-19,-0.0016
2013-11-20,-0.00241
2013-11-21,0.01119
2013-11-22,0.00079
2013-11-25,-0.00239
2013-11-26,-0.00159
2013-11-27,-0.0024
2013-11-29,0.00399
2013-12-02,-0.00319
2013-12-03,0.00239
2013-12-04,-8e-04
2013-12-05,-0.0024
2013-12-06,0.00796
2013-12-09,0
2013-12-10,0.00396
2013-12-11,-0.02398
2013-12-12,-0.00405
2013-12-13,-0.00163
2013-12-16,0.00325
2013-12-17,-0.00244
2013-12-18,0.01212
2013-12-19,-0.00161
2013-12-20,0.00881
2013-12-23,0.00715
2013-12-24,0.00237
2013-12-26,-0.00079
2013-12-27,0
2013-12-30,-0.00079
2013-12-31,0
2014-01-02,-0.01194
2014-01-03,-0.0024
2014-01-06,8e-04
2014-01-07,0.01196
2014-01-08,0.00079
2014-01-09,0.00158
2014-01-10,0.00158
2014-01-13,-0.01191
2014-01-14,0.00558
2014-01-15,0.00475
2014-01-16,-0.00079
2014-01-17,-0.00158
2014-01-21,0.00553
2014-01-22,-0.00079
2014-01-23,-0.00395
2014-01-24,-0.00875
2014-01-27,-0.00721
2014-01-28,0.0104
2014-01-29,-0.00639
2014-01-30,0.0048
2014-01-31,-0.004
2014-02-03,-0.0137
2014-02-04,0.00647
2014-02-05,0.00081
2014-02-06,0.01042
2014-02-07,0.0111
2014-02-10,0.00158
2014-02-11,0.0094
2014-02-12,-0.00234
2014-02-13,0.00156
2014-02-14,0.00545
2014-02-18,-0.00233
2014-02-19,-0.0039
2014-02-20,0.00856
2014-02-21,-0.00155
2014-02-24,0.00542
2014-02-25,-0.00077
2014-02-26,0.00385
2014-02-27,0.00154
2014-02-28,0.0023
2014-03-03,-0.00692
2014-03-04,0.01303
2014-03-05,-0.00458
2014-03-06,0.00306
2014-03-07,-0.00612
2014-03-10,-0.00462
2014-03-11,0.00308
2014-03-12,-0.02097
2014-03-13,-0.00551
2014-03-14,-0.00158
2014-03-17,0.00709
2014-03-18,0.00548
2014-03-19,-0.00469
2014-03-20,0.00391
2014-03-21,-0.00313
2014-03-24,0.00078
2014-03-25,-0.00157
2014-03-26,-0.00314
2014-03-27,-0.0079
2014-03-28,0.00317
2014-03-31,0.00316
2014-04-01,0.0055
2014-04-02,0.00235
2014-04-03,-0.00156
2014-04-04,-0.00157
2014-04-07,-0.01501
2014-04-08,-0.00239
2014-04-09,0.01348
2014-04-10,-0.00315
2014-04-11,-0.00396
2014-04-14,0.00079
2014-04-15,0
2014-04-16,0.00946
2014-04-17,0.00157
2014-04-21,0.00157
2014-04-22,0.00313
2014-04-23,0.00389
2014-04-24,0.00155
2014-04-25,0.00232
2014-04-28,-0.00388
2014-04-29,0.00388
2014-04-30,0.00232
2014-05-01,0.00077
2014-05-02,0.00998
2014-05-05,0.00685
2014-05-06,0.00076
2014-05-07,0.01056
2014-05-08,0.00449
2014-05-09,0.00149
2014-05-12,0.00149
2014-05-13,0.00074
2014-05-14,-0.00597
2014-05-15,0.00075
2014-05-16,0.00149
2014-05-19,0.00224
2014-05-20,-0.00149
2014-05-21,0.00595
2014-05-22,0.00222
2014-05-23,0.00369
2014-05-27,0.00074
2014-05-28,-0.00295
2014-05-29,-0.00074
2014-05-30,-0.00074
2014-06-02,-0.00297
2014-06-03,-0.00297
2014-06-04,0.00594
2014-06-05,0.00148
2014-06-06,0
2014-06-09,-0.00222
2014-06-10,0.0037
2014-06-11,-0.02013
2014-06-12,-0.00453
2014-06-13,0.00528
2014-06-16,0
2014-06-17,-0.00151
2014-06-18,0.00075
2014-06-19,-0.00075
