"Index","NVG.Close"
2009-06-09,12.82
2009-06-10,12.76
2009-06-11,12.7
2009-06-12,12.55
2009-06-15,12.57
2009-06-16,12.64
2009-06-17,12.61
2009-06-18,12.65
2009-06-19,12.89
2009-06-22,12.85
2009-06-23,12.8
2009-06-24,12.83
2009-06-25,12.89
2009-06-26,12.9
2009-06-29,12.85
2009-06-30,12.82
2009-07-01,12.76
2009-07-02,12.8
2009-07-06,12.69
2009-07-07,12.75
2009-07-08,12.95
2009-07-09,12.33
2009-07-10,12.98
2009-07-13,12.95
2009-07-14,12.97
2009-07-15,13.01
2009-07-16,13.18
2009-07-17,13.12
2009-07-20,13.06
2009-07-21,13.13
2009-07-22,13.25
2009-07-23,13.35
2009-07-24,13.28
2009-07-27,13.23
2009-07-28,13.32
2009-07-29,13.31
2009-07-30,13.25
2009-07-31,13.42
2009-08-03,13.41
2009-08-04,13.39
2009-08-05,13.37
2009-08-06,13.38
2009-08-07,13.33
2009-08-10,13.4
2009-08-11,13.44
2009-08-12,13.32
2009-08-13,13.3
2009-08-14,13.32
2009-08-17,13.37
2009-08-18,13.53
2009-08-19,13.46
2009-08-20,13.57
2009-08-21,13.59
2009-08-24,13.54
2009-08-25,13.64
2009-08-26,13.6
2009-08-27,13.65
2009-08-28,13.64
2009-08-31,13.62
2009-09-01,13.61
2009-09-02,13.67
2009-09-03,13.41
2009-09-04,13.73
2009-09-08,13.94
2009-09-09,14
2009-09-10,13.98
2009-09-11,13.95
2009-09-14,14.01
2009-09-15,14.03
2009-09-16,14.04
2009-09-17,14.1
2009-09-18,14.12
2009-09-21,14.14
2009-09-22,14.14
2009-09-23,14.24
2009-09-24,14.19
2009-09-25,14.19
2009-09-28,14.12
2009-09-29,14.17
2009-09-30,14.35
2009-10-01,14.41
2009-10-02,14.39
2009-10-05,14.52
2009-10-06,14.5
2009-10-07,14.49
2009-10-08,14.45
2009-10-09,14.23
2009-10-12,13.82
2009-10-13,13.91
2009-10-14,13.85
2009-10-15,13.64
2009-10-16,13.68
2009-10-19,13.9
2009-10-20,13.93
2009-10-21,13.96
2009-10-22,13.96
2009-10-23,13.89
2009-10-26,13.84
2009-10-27,13.85
2009-10-28,13.76
2009-10-29,13.78
2009-10-30,13.85
2009-11-02,13.82
2009-11-03,13.78
2009-11-04,13.76
2009-11-05,13.8
2009-11-06,13.78
2009-11-09,13.77
2009-11-10,13.7
2009-11-11,13.68
2009-11-12,13.64
2009-11-13,13.66
2009-11-16,13.79
2009-11-17,13.83
2009-11-18,13.79
2009-11-19,13.71
2009-11-20,13.69
2009-11-23,13.77
2009-11-24,13.83
2009-11-25,13.86
2009-11-27,13.86
2009-11-30,14
2009-12-01,14.02
2009-12-02,14
2009-12-03,14
2009-12-04,13.93
2009-12-07,13.89
2009-12-08,13.9
2009-12-09,13.94
2009-12-10,14.04
2009-12-11,14.18
2009-12-14,14.16
2009-12-15,14
2009-12-16,13.97
2009-12-17,13.95
2009-12-18,13.97
2009-12-21,13.87
2009-12-22,13.88
2009-12-23,13.99
2009-12-24,14
2009-12-28,14.05
2009-12-29,14.09
2009-12-30,14.23
2009-12-31,14.3
2010-01-04,14.22
2010-01-05,14.15
2010-01-06,14.1
2010-01-07,14.28
2010-01-08,14.32
2010-01-11,14.33
2010-01-12,14.28
2010-01-13,14.18
2010-01-14,14.17
2010-01-15,14.13
2010-01-19,14.23
2010-01-20,14.22
2010-01-21,14.14
2010-01-22,14.11
2010-01-25,14.12
2010-01-26,14.22
2010-01-27,14.21
2010-01-28,14.29
2010-01-29,14.24
2010-02-01,14.23
2010-02-02,14.29
2010-02-03,14.35
2010-02-04,14.27
2010-02-05,14.24
2010-02-08,14.19
2010-02-09,14.23
2010-02-10,14.18
2010-02-11,14.24
2010-02-12,14.24
2010-02-16,14.29
2010-02-17,14.32
2010-02-18,14.28
2010-02-19,14.3
2010-02-22,14.07
2010-02-23,14.14
2010-02-24,14.15
2010-02-25,14.2
2010-02-26,14.27
2010-03-01,14.26
2010-03-02,14.26
2010-03-03,14.28
2010-03-04,14.3
2010-03-05,14.31
2010-03-08,14.33
2010-03-09,14.28
2010-03-10,14.3
2010-03-11,14.2
2010-03-12,14.25
2010-03-15,14.28
2010-03-16,14.2
2010-03-17,14.19
2010-03-18,14.09
2010-03-19,14.17
2010-03-22,14.2
2010-03-23,14.27
2010-03-24,14.22
