"Index","VIV.Close"
2012-05-11,-0.02053
2012-05-14,-0.03774
2012-05-15,-0.00733
2012-05-16,0.00155
2012-05-17,-0.02151
2012-05-18,0.0067
2012-05-21,-0.00868
2012-05-22,-0.00596
2012-05-23,-0.01687
2012-05-24,-0.01428
2012-05-25,0.00859
2012-05-29,0.01094
2012-05-30,-0.04198
2012-05-31,-0.00717
2012-06-01,0.00296
2012-06-04,0
2012-06-05,0.00127
2012-06-06,-0.01145
2012-06-07,0.01607
2012-06-08,-0.01224
2012-06-11,0.00297
2012-06-12,0.01179
2012-06-13,-0.02158
2012-06-14,0.00214
2012-06-15,0.00511
2012-06-18,0.00085
2012-06-19,0.03747
2012-06-20,-0.00164
2012-06-21,-0.03754
2012-06-22,0.00551
2012-06-25,-0.0149
2012-06-26,0.02248
2012-06-27,-0.00294
2012-06-28,-0.00548
2012-06-29,0.04548
2012-07-02,0.03651
2012-07-03,-0.00195
2012-07-05,-0.01218
2012-07-06,-0.00198
2012-07-09,-0.00516
2012-07-10,0.00556
2012-07-11,-0.01435
2012-07-12,-0.01742
2012-07-13,-0.02524
2012-07-16,-0.01478
2012-07-17,0.01394
2012-07-18,0.00711
2012-07-19,-0.01722
2012-07-20,-0.01709
2012-07-23,-0.02355
2012-07-24,-0.00887
2012-07-25,-0.01345
2012-07-26,0.04241
2012-07-27,0.01928
2012-07-30,-0.00638
2012-07-31,-0.00299
2012-08-01,0.0098
2012-08-02,-0.00724
2012-08-03,0.02656
2012-08-06,0.00829
2012-08-07,-0.00579
2012-08-08,0.01155
2012-08-09,0.00776
2012-08-10,0.01735
2012-08-13,-0.0202
2012-08-14,-0.00082
2012-08-15,0.00814
2012-08-16,0
2012-08-17,-0.00081
2012-08-20,-0.01512
2012-08-21,-0.0399
2012-08-22,-0.01816
2012-08-23,-0.00744
2012-08-24,-0.01194
2012-08-27,-0.00357
2012-08-28,-0.02075
2012-08-29,-0.01469
2012-08-30,-0.01257
2012-08-31,0.00094
2012-09-04,0.01117
2012-09-05,0.01196
2012-09-06,0.02751
2012-09-07,0.01589
2012-09-10,-0.01722
2012-09-11,0.01283
2012-09-12,0.01441
2012-09-13,-0.00958
2012-09-14,-0.00483
