"Index","FLEX.Close"
2010-08-26,5.03
2010-08-27,5.11
2010-08-30,5.03
2010-08-31,4.93
2010-09-01,5.18
2010-09-02,5.48
2010-09-03,5.47
2010-09-07,5.26
2010-09-08,5.46
2010-09-09,5.56
2010-09-10,5.52
2010-09-13,5.63
2010-09-14,5.58
2010-09-15,5.71
2010-09-16,5.62
2010-09-17,5.55
2010-09-20,5.87
2010-09-21,5.84
2010-09-22,5.69
2010-09-23,5.67
2010-09-24,5.96
2010-09-27,5.99
2010-09-28,5.96
2010-09-29,6.07
2010-09-30,6.04
2010-10-01,6.04
2010-10-04,5.97
2010-10-05,6.15
2010-10-06,6.06
2010-10-07,6.14
2010-10-08,5.99
2010-10-11,6.07
2010-10-12,6.08
2010-10-13,6.22
2010-10-14,6.13
2010-10-15,6.13
2010-10-18,6.13
2010-10-19,6.11
2010-10-20,6.14
2010-10-21,6.15
2010-10-22,6.23
2010-10-25,6.36
2010-10-26,6.37
2010-10-27,6.4
2010-10-28,7.11
2010-10-29,7.17
2010-11-01,7.03
2010-11-02,7.05
2010-11-03,7.02
2010-11-04,7.21
2010-11-05,7.21
2010-11-08,7.17
2010-11-09,7.11
2010-11-10,7
2010-11-11,6.91
2010-11-12,6.75
2010-11-15,6.87
2010-11-16,6.84
2010-11-17,6.91
2010-11-18,7.12
2010-11-19,7.1
2010-11-22,7.1
2010-11-23,7
2010-11-24,7.15
2010-11-26,7.11
2010-11-29,7
2010-11-30,7.22
2010-12-01,7.37
2010-12-02,7.47
2010-12-03,7.48
2010-12-06,7.74
2010-12-07,7.78
2010-12-08,7.86
2010-12-09,7.8
2010-12-10,7.87
2010-12-13,7.72
2010-12-14,7.8
2010-12-15,7.59
2010-12-16,7.71
2010-12-17,7.66
2010-12-20,7.65
2010-12-21,7.89
2010-12-22,7.81
2010-12-23,7.82
2010-12-27,7.85
2010-12-28,7.87
2010-12-29,7.98
2010-12-30,7.83
2010-12-31,7.85
2011-01-03,8.04
2011-01-04,7.95
2011-01-05,7.89
2011-01-06,7.97
2011-01-07,8.11
2011-01-10,8.16
2011-01-11,8.18
2011-01-12,8.32
2011-01-13,8.3
2011-01-14,8.39
2011-01-18,8.42
2011-01-19,8.36
2011-01-20,8.22
2011-01-21,8.01
2011-01-24,8.32
2011-01-25,8.18
2011-01-26,8.28
2011-01-27,8.39
2011-01-28,8.06
2011-01-31,7.99
2011-02-01,8.01
2011-02-02,8
2011-02-03,7.98
2011-02-04,7.97
2011-02-07,7.94
2011-02-08,7.84
2011-02-09,7.95
2011-02-10,8.03
2011-02-11,8.04
2011-02-14,8.21
2011-02-15,8.17
2011-02-16,8.24
2011-02-17,8.44
2011-02-18,8.42
2011-02-22,8.11
2011-02-23,7.95
2011-02-24,8.07
2011-02-25,8.12
2011-02-28,8.09
2011-03-01,7.9
2011-03-02,7.75
2011-03-03,8.13
2011-03-04,8.04
2011-03-07,7.83
2011-03-08,7.93
2011-03-09,7.62
2011-03-10,7.41
2011-03-11,7.55
2011-03-14,7.52
2011-03-15,7.41
2011-03-16,7.24
2011-03-17,7.17
2011-03-18,7.21
2011-03-21,7.21
2011-03-22,7.18
2011-03-23,7.33
2011-03-24,7.36
2011-03-25,7.34
2011-03-28,7.29
2011-03-29,7.43
2011-03-30,7.61
2011-03-31,7.47
2011-04-01,7.25
2011-04-04,7.28
2011-04-05,7.21
2011-04-06,7.29
2011-04-07,7.27
2011-04-08,7.28
2011-04-11,7.09
2011-04-12,6.96
2011-04-13,7
2011-04-14,7.02
2011-04-15,7.07
2011-04-18,7.01
2011-04-19,6.96
2011-04-20,7.17
2011-04-21,7.29
2011-04-25,7.3
2011-04-26,7.47
2011-04-27,7.51
2011-04-28,7.2
2011-04-29,6.97
2011-05-02,6.99
2011-05-03,6.91
2011-05-04,6.85
2011-05-05,6.95
2011-05-06,7.02
2011-05-09,6.93
2011-05-10,7.07
2011-05-11,7
2011-05-12,7.05
2011-05-13,6.96
2011-05-16,6.89
2011-05-17,6.76
2011-05-18,6.68
2011-05-19,6.75
2011-05-20,6.8
2011-05-23,6.8
2011-05-24,6.78
2011-05-25,7.04
2011-05-26,7.04
2011-05-27,7.11
2011-05-31,7.24
2011-06-01,7.07
2011-06-02,7.04
2011-06-03,6.88
2011-06-06,6.88
2011-06-07,6.85
2011-06-08,6.77
2011-06-09,6.95
2011-06-10,7.03
2011-06-13,6.93
2011-06-14,7
2011-06-15,6.78
2011-06-16,6.6
2011-06-17,6.3
2011-06-20,6.27
2011-06-21,6.4
2011-06-22,6.43
2011-06-23,6.34
2011-06-24,6.4
2011-06-27,6.36
2011-06-28,6.3
2011-06-29,6.44
2011-06-30,6.42
2011-07-01,6.6
2011-07-05,6.55
2011-07-06,6.47
2011-07-07,6.69
2011-07-08,6.59
2011-07-11,6.4
2011-07-12,6.28
2011-07-13,6.4
2011-07-14,6.27
2011-07-15,6.14
2011-07-18,6.15
2011-07-19,6.32
2011-07-20,6.28
2011-07-21,6.41
2011-07-22,7.01
2011-07-25,6.72
2011-07-26,6.72
2011-07-27,6.55
2011-07-28,6.46
2011-07-29,6.45
2011-08-01,6.27
2011-08-02,5.96
2011-08-03,6.09
2011-08-04,5.71
2011-08-05,5.66
2011-08-08,5.17
2011-08-09,5.41
2011-08-10,5.16
2011-08-11,5.54
2011-08-12,5.55
2011-08-15,5.71
2011-08-16,5.7
2011-08-17,5.65
2011-08-18,5.19
2011-08-19,5.15
2011-08-22,5.1
2011-08-23,5.38
2011-08-24,5.42
2011-08-25,5.27
2011-08-26,5.49
2011-08-29,5.8
2011-08-30,5.76
2011-08-31,5.75
2011-09-01,5.66
2011-09-02,5.42
2011-09-06,5.42
2011-09-07,5.68
2011-09-08,5.54
2011-09-09,5.39
2011-09-12,5.51
2011-09-13,5.61
2011-09-14,5.78
2011-09-15,5.92
2011-09-16,5.92
2011-09-19,5.99
2011-09-20,5.87
2011-09-21,5.76
2011-09-22,5.44
2011-09-23,5.5
2011-09-26,5.61
2011-09-27,5.77
2011-09-28,5.79
2011-09-29,5.84
2011-09-30,5.63
2011-10-03,5.42
2011-10-04,5.68
2011-10-05,5.95
2011-10-06,6.04
2011-10-07,6.07
2011-10-10,6.34
2011-10-11,6.31
2011-10-12,6.34
2011-10-13,6.36
2011-10-14,6.48
2011-10-17,6.33
2011-10-18,6.44
2011-10-19,6.1
2011-10-20,6.11
2011-10-21,6.59
2011-10-24,6.65
2011-10-25,6.62
2011-10-26,6.63
2011-10-27,6.75
2011-10-28,6.68
2011-10-31,6.56
2011-11-01,6.38
2011-11-02,6.46
2011-11-03,6.68
2011-11-04,6.68
2011-11-07,6.6
2011-11-08,6.64
2011-11-09,6.18
2011-11-10,6.18
2011-11-11,6.34
2011-11-14,6.23
2011-11-15,6.45
2011-11-16,6.21
2011-11-17,5.88
2011-11-18,5.8
2011-11-21,5.74
2011-11-22,5.68
2011-11-23,5.55
2011-11-25,5.46
2011-11-28,5.66
2011-11-29,5.52
2011-11-30,5.97
2011-12-01,5.91
2011-12-02,5.93
2011-12-05,6.04
2011-12-06,5.98
2011-12-07,6.02
2011-12-08,5.69
2011-12-09,5.9
2011-12-12,6.06
2011-12-13,5.89
2011-12-14,5.84
2011-12-15,5.88
2011-12-16,5.79
2011-12-19,5.72
2011-12-20,5.88
2011-12-21,5.66
2011-12-22,5.82
2011-12-23,5.93
2011-12-27,5.93
2011-12-28,5.66
2011-12-29,5.7
2011-12-30,5.66
2012-01-03,5.83
2012-01-04,5.82
2012-01-05,5.81
2012-01-06,5.75
2012-01-09,5.82
2012-01-10,5.97
2012-01-11,6.2
2012-01-12,6.26
2012-01-13,6.22
2012-01-17,6.21
2012-01-18,6.43
2012-01-19,6.72
2012-01-20,6.72
2012-01-23,6.73
2012-01-24,6.8
2012-01-25,6.76
2012-01-26,6.83
2012-01-27,6.75
2012-01-30,6.76
2012-01-31,6.87
2012-02-01,7.09
2012-02-02,6.99
2012-02-03,7.14
2012-02-06,7.12
2012-02-07,6.97
2012-02-08,6.94
2012-02-09,7.12
2012-02-10,6.96
2012-02-13,6.98
2012-02-14,6.98
2012-02-15,6.92
2012-02-16,6.99
2012-02-17,6.93
2012-02-21,7
2012-02-22,6.96
2012-02-23,7.21
2012-02-24,7.17
2012-02-27,7.03
2012-02-28,7.1
2012-02-29,7.05
2012-03-01,7.17
2012-03-02,7.28
2012-03-05,6.99
2012-03-06,6.82
2012-03-07,6.88
2012-03-08,7.06
2012-03-09,7.17
2012-03-12,7.15
2012-03-13,7.34
2012-03-14,7.34
2012-03-15,7.42
2012-03-16,7.39
2012-03-19,7.35
2012-03-20,7.23
2012-03-21,7.17
2012-03-22,7.08
2012-03-23,7.04
2012-03-26,7.23
2012-03-27,7.22
2012-03-28,7.35
2012-03-29,7.28
2012-03-30,7.22
2012-04-02,7.3
2012-04-03,7.3
2012-04-04,7.09
2012-04-05,7.07
2012-04-09,7.06
2012-04-10,6.85
2012-04-11,6.95
2012-04-12,7.03
2012-04-13,6.85
2012-04-16,6.88
2012-04-17,7.08
2012-04-18,6.9
2012-04-19,6.8
2012-04-20,6.79
2012-04-23,6.67
2012-04-24,6.6
2012-04-25,6.7
2012-04-26,6.74
2012-04-27,6.72
2012-04-30,6.68
2012-05-01,6.77
2012-05-02,7.1
2012-05-03,6.88
2012-05-04,6.69
2012-05-07,6.66
2012-05-08,6.67
2012-05-09,6.66
2012-05-10,6.65
2012-05-11,6.64
2012-05-14,6.59
2012-05-15,6.74
2012-05-16,6.62
2012-05-17,6.55
2012-05-18,6.39
2012-05-21,6.63
2012-05-22,6.51
2012-05-23,6.48
2012-05-24,6.38
2012-05-25,6.42
2012-05-29,6.46
2012-05-30,6.36
2012-05-31,6.42
2012-06-01,6.14
2012-06-04,6.23
2012-06-05,6.4
2012-06-06,6.64
