"Index","AMOT.Close"
2010-10-22,4.76
2010-10-25,4.77
2010-10-26,4.8
2010-10-27,4.79
2010-10-28,4.69
2010-10-29,4.8
2010-11-01,4.85
2010-11-02,4.89
2010-11-03,5.26
2010-11-04,5.39
2010-11-05,5.7
2010-11-08,5.62
2010-11-09,5.7
2010-11-10,5.7
2010-11-11,5.69
2010-11-12,5.44
2010-11-15,5.41
2010-11-16,5.26
2010-11-17,5.2
2010-11-18,5.28
2010-11-19,5.3
2010-11-22,5.29
2010-11-23,5.2
2010-11-24,5.24
2010-11-26,5.07
2010-11-29,5.1
2010-11-30,5.35
2010-12-01,5.39
2010-12-02,5.44
2010-12-03,5.4
2010-12-06,5.3
2010-12-07,5.4
2010-12-08,5.49
2010-12-09,5.35
2010-12-10,5.4
2010-12-13,5.16
2010-12-14,5.25
2010-12-15,5.2
2010-12-16,5.25
2010-12-17,5.25
2010-12-20,5.71
2010-12-21,6.1
2010-12-22,6.11
2010-12-23,6.61
2010-12-27,6.45
2010-12-28,6.74
2010-12-29,6.65
2010-12-30,6.48
2010-12-31,6.88
2011-01-03,7.23
2011-01-04,7.3
2011-01-05,7.29
2011-01-06,6.99
2011-01-07,7
2011-01-10,7.22
2011-01-11,7.23
2011-01-12,7.2
2011-01-13,7.5
2011-01-14,8.15
2011-01-18,8.24
2011-01-19,7.95
2011-01-20,7.97
2011-01-21,7.91
2011-01-24,8.15
2011-01-25,8.15
2011-01-26,8.4
2011-01-27,8.37
2011-01-28,8.32
2011-01-31,8.74
2011-02-01,8.74
2011-02-02,8.57
2011-02-03,8.55
2011-02-04,8.5
2011-02-07,8.65
2011-02-08,8.5
2011-02-09,8.45
2011-02-10,8.52
2011-02-11,8.56
2011-02-14,8.7
2011-02-15,8.7
2011-02-16,8.68
2011-02-17,8.69
2011-02-18,8.9
2011-02-22,7.25
2011-02-23,7.12
2011-02-24,7.42
2011-02-25,7.81
2011-02-28,8
2011-03-01,7.86
2011-03-02,7.5
2011-03-03,7.36
2011-03-04,7.43
2011-03-07,7.3
2011-03-08,7.34
2011-03-09,7.4
2011-03-10,7.18
2011-03-11,7.15
2011-03-14,7.04
2011-03-15,7
2011-03-16,6.95
2011-03-17,6.81
2011-03-18,6.9
2011-03-21,6.76
2011-03-22,6.73
2011-03-23,6.85
2011-03-24,6.87
2011-03-25,7.07
2011-03-28,6.89
2011-03-29,7.1
2011-03-30,7.16
2011-03-31,7.05
2011-04-01,7.05
2011-04-04,6.92
2011-04-05,6.96
2011-04-06,6.88
2011-04-07,6.66
2011-04-08,6.88
2011-04-11,6.8
2011-04-12,6.89
2011-04-13,6.96
2011-04-14,7.05
2011-04-15,7.11
2011-04-18,7.09
2011-04-19,6.98
2011-04-20,6.97
2011-04-21,7
2011-04-25,6.84
2011-04-26,6.8
2011-04-27,6.8
2011-04-28,6.8
2011-04-29,6.91
2011-05-02,6.94
2011-05-03,7.45
2011-05-04,7.72
2011-05-05,7.3
2011-05-06,7.39
2011-05-09,7.55
2011-05-10,7.28
2011-05-11,7.19
2011-05-12,7.45
2011-05-13,7.28
2011-05-16,7.2
2011-05-17,6.75
2011-05-18,6.75
2011-05-19,6.7
2011-05-20,6.72
2011-05-23,6.68
2011-05-24,6.63
2011-05-25,6.51
2011-05-26,6.68
2011-05-27,6.75
2011-05-31,6.71
2011-06-01,6.63
2011-06-02,6.5
2011-06-03,6.25
2011-06-06,5.98
2011-06-07,5.66
2011-06-08,5.24
2011-06-09,5.59
2011-06-10,5.52
2011-06-13,5.59
2011-06-14,5.26
2011-06-15,5.1
2011-06-16,5.15
2011-06-17,5.22
2011-06-20,4.69
2011-06-21,4.93
2011-06-22,4.94
2011-06-23,5.01
2011-06-24,5.52
2011-06-27,5.55
2011-06-28,5.47
2011-06-29,5.36
2011-06-30,5.45
2011-07-01,5.57
2011-07-05,5.73
2011-07-06,5.71
2011-07-07,5.68
2011-07-08,5.76
2011-07-11,5.73
2011-07-12,5.69
2011-07-13,5.5
2011-07-14,5.94
2011-07-15,5.71
2011-07-18,5.56
2011-07-19,5.56
2011-07-20,5.27
2011-07-21,4.91
2011-07-22,5.01
2011-07-25,5.1
2011-07-26,5.18
2011-07-27,5.05
2011-07-28,5.12
